Model,Date,Close,Probability,Position,Market_Return,Strategy_Return,Trading_Cost,Net_Return,Equity,Running_Max,Drawdown
Logistic,2023-02-03,3482.300048828125,0.3323726681137554,0,-0.0064181998514950545,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-02-06,3459.949951171875,0.3353508505963547,0,0.003641699398565734,0.0,0.0,0.0,100000.0,100000.0,0.0
Logistic,2023-02-07,3472.550048828125,0.3358274230951104,0,0.013693121239295447,0.0,0.0,0.0,100000.0,100000.0,0.0
Logistic,2023-02-08,3520.10009765625,0.3169456029434881,0,0.005894718736497273,0.0,0.0,0.0,100000.0,100000.0,0.0
Logistic,2023-02-09,3540.85009765625,0.3070415629318276,0,-0.0009319933736560149,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-02-10,3537.550048828125,0.3099843075539588,0,-0.01558992684856697,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-02-13,3482.39990234375,0.3420182103530366,0,0.005082757813250405,0.0,0.0,0.0,100000.0,100000.0,0.0
Logistic,2023-02-14,3500.10009765625,0.3326904427868208,0,0.005871204855329992,0.0,0.0,0.0,100000.0,100000.0,0.0
Logistic,2023-02-15,3520.64990234375,0.3144898198035353,0,0.010623080261254358,0.0,0.0,0.0,100000.0,100000.0,0.0
Logistic,2023-02-16,3558.050048828125,0.3049661111055787,0,-0.015991946629057563,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-02-17,3501.14990234375,0.3344106410548013,0,-0.003955801351536947,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-02-20,3487.300048828125,0.3349551747827852,0,-0.010409212949807234,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-02-21,3451.0,0.3479790425064203,0,-0.014329165798862675,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-02-22,3401.550048828125,0.3570200386662572,0,0.0036012993559275674,0.0,0.0,0.0,100000.0,100000.0,0.0
Logistic,2023-02-23,3413.800048828125,0.3418176444328685,0,-0.003910626710791898,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-02-24,3400.449951171875,0.3458673867292738,0,-0.020173757738144005,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-02-27,3331.85009765625,0.3721890380624775,0,-0.00570253746210414,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-02-28,3312.85009765625,0.3805370634316021,0,0.021990084479573735,0.0,0.0,0.0,100000.0,100000.0,0.0
Logistic,2023-03-01,3385.699951171875,0.3343009537332462,0,-0.018976873593822607,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-03-02,3321.449951171875,0.3645400958460652,0,0.006232203247431567,0.0,0.0,0.0,100000.0,100000.0,0.0
Logistic,2023-03-03,3342.14990234375,0.3436383922798365,0,0.008886553918982631,0.0,0.0,0.0,100000.0,100000.0,0.0
Logistic,2023-03-06,3371.85009765625,0.3401355267378778,0,0.005501372881431932,0.0,0.0,0.0,100000.0,100000.0,0.0
Logistic,2023-03-08,3390.39990234375,0.3202169699840195,0,-0.01579453935521924,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-03-09,3336.85009765625,0.3529078975660265,0,-0.0017531796409910871,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-03-10,3331.0,0.3450272708599116,0,-0.014725322374099403,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-03-13,3281.949951171875,0.3897992886313854,0,-0.020414692788376154,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-03-14,3214.949951171875,0.4162263126907759,0,-0.004992316854660395,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-03-15,3198.89990234375,0.4112244854994134,0,-0.00434521328209303,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-03-16,3185.0,0.4048547452691695,0,-0.0017896236018445366,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-03-17,3179.300048828125,0.4372573926157425,0,-0.01132324708178123,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-03-20,3143.300048828125,0.4354233149902384,0,-0.011834680302233225,-0.0,0.0,-0.0,100000.0,100000.0,0.0
Logistic,2023-03-21,3106.10009765625,0.4791788951609003,0,0.007952078296032061,0.0,0.0,0.0,100000.0,100000.0,0.0
Logistic,2023-03-22,3130.800048828125,0.5121557216061321,1,-0.001964400916205755,-0.001964400916205755,0.0015,-0.0034644009162057552,99653.55990837944,100000.0,-0.00346440091620559
Logistic,2023-03-23,3124.64990234375,0.5201322151407698,1,-0.0013281175406681944,-0.0013281175406681944,0.0,-0.0013281175406681944,99521.20826747509,100000.0,-0.004787917325249191
Logistic,2023-03-24,3120.5,0.5515486398183622,1,0.0005768462836484023,0.0005768462836484023,0.0,0.0005768462836484023,99578.61670660837,100000.0,-0.004213832933916306
Logistic,2023-03-27,3122.300048828125,0.5799026590523706,1,-0.0020498178856247495,-0.0020498178856247495,0.0,-0.0020498178856247495,99374.49867705739,100000.0,-0.006255013229426121
Logistic,2023-03-28,3115.89990234375,0.5905988184469028,1,0.007381495144532568,0.007381495144532568,0.0,0.007381495144532568,100108.03105653245,100108.03105653245,0.0
Logistic,2023-03-29,3138.89990234375,0.5688626437700478,1,0.021345057849717408,0.021345057849717408,0.0,0.021345057849717408,102244.84277065544,102244.84277065544,0.0
Logistic,2023-03-31,3205.89990234375,0.5296024882839706,1,-0.0018403264367164995,-0.0018403264367164995,0.0,-0.0018403264367164995,102056.67888348667,102244.84277065544,-0.0018403264367164995
Logistic,2023-04-03,3200.0,0.5482843160650549,1,0.012437515258789,0.012437515258789,0.0,0.012437515258789,103326.01038436138,103326.01038436138,0.0
Logistic,2023-04-05,3239.800048828125,0.5277116173030929,1,-0.005895455697384366,-0.005895455697384366,0.0,-0.005895455697384366,102716.85646775289,103326.01038436138,-0.005895455697384366
Logistic,2023-04-06,3220.699951171875,0.5582866725195778,1,0.013257972434326915,0.013257972434326915,0.0,0.013257972434326915,104078.67371934307,104078.67371934307,0.0
Logistic,2023-04-10,3263.39990234375,0.500053264233094,1,-0.015198827909507107,-0.015198827909507107,0.0,-0.015198827909507107,102496.79986843304,104078.67371934307,-0.015198827909507107
Logistic,2023-04-11,3213.800048828125,0.5656286140971557,1,0.008665708224685709,0.008665708224685709,0.0,0.008665708224685709,103385.00723005689,104078.67371934307,-0.0066648282928424285
Logistic,2023-04-12,3241.64990234375,0.5454916579866225,1,-0.016287941720457,-0.016287941720457,0.0,-0.016287941720457,101701.0782575247,104078.67371934307,-0.022844213678488656
Logistic,2023-04-13,3188.85009765625,0.652088692943985,1,-0.015475828635695854,-0.015475828635695854,0.0,-0.015475828635695854,100127.16979834576,104078.67371934307,-0.03796650917797895
Logistic,2023-04-17,3139.5,0.6886865870075687,1,-0.00278706800445927,-0.00278706800445927,0.0,-0.00278706800445927,99848.10856702372,104078.67371934307,-0.040647761939467286
Logistic,2023-04-18,3130.75,0.6991273118846277,1,-0.01314378418709572,-0.01314378418709572,0.0,-0.01314378418709572,98535.72657652906,104078.67371934307,-0.05325728071594216
Logistic,2023-04-19,3089.60009765625,0.7272288352866185,1,0.004919714749946236,0.004919714749946236,0.0,0.004919714749946236,99020.49424396429,104078.67371934307,-0.04859957659547609
Logistic,2023-04-20,3104.800048828125,0.7106106077683921,1,0.018052708047747057,0.018052708047747057,0.0,0.018052708047747057,100808.08231729419,104078.67371934307,-0.031424222515251454
