Date,Equity,Daily_Return,Probability,Regime,Signal,Allowed_Regime,Threshold,Holding_Period,Regime_Filter
2023-02-03,100000.0,0.0,0.4088793396949768,Strong_Uptrend_HighVol,False,True,0.6,5,All_Regimes
2023-02-06,100000.0,0.0,0.3988363146781921,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-02-07,100000.0,0.0,0.4039197564125061,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-02-08,100000.0,0.0,0.2952230274677276,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-02-09,100000.0,0.0,0.2863130271434784,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-02-10,100000.0,0.0,0.2909234464168548,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-02-13,100000.0,0.0,0.2294507175683975,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-02-14,100000.0,0.0,0.3302276730537414,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-02-15,100000.0,0.0,0.3378582596778869,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-02-16,100000.0,0.0,0.3549425303936004,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-02-17,100000.0,0.0,0.2489628791809082,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-02-20,100000.0,0.0,0.2929953932762146,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-02-21,100000.0,0.0,0.1825983077287674,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-02-22,100000.0,0.0,0.4928011000156402,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-02-23,100000.0,0.0,0.4355315566062927,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-02-24,100000.0,0.0,0.4860202372074127,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-02-27,100000.0,0.0,0.3203698992729187,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-02-28,100000.0,0.0,0.4484154284000397,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-03-01,100000.0,0.0,0.5300629138946533,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-03-02,100000.0,0.0,0.440104991197586,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-03-03,100000.0,0.0,0.3472266495227813,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-03-06,100000.0,0.0,0.5566051006317139,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-03-08,100000.0,0.0,0.5375850796699524,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-03-09,100000.0,0.0,0.3203698992729187,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-03-10,100000.0,0.0,0.4161155521869659,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-03-13,100000.0,0.0,0.452767014503479,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-03-14,100000.0,0.0,0.4399172663688659,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-03-15,100000.0,0.0,0.4191609621047973,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-03-16,100000.0,0.0,0.4191609621047973,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-03-17,100000.0,0.0,0.4160205423831939,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-03-20,100000.0,0.0,0.4828085303306579,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-03-21,99850.0,-0.0015,0.8460187315940857,Strong_Uptrend_LowVol,True,True,0.6,5,All_Regimes
2023-03-22,100644.01501785881,0.007952078296032061,0.5559381246566772,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-03-23,100446.3098225471,-0.001964400916205755,0.583052933216095,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
2023-03-24,100312.90531657639,-0.0013281175406681944,0.7248117923736572,Strong_Uptrend_LowVol,True,True,0.6,5,All_Regimes
2023-03-27,100370.77044321023,0.0005768462836484023,0.5973241925239563,Strong_Uptrend_LowVol,False,True,0.6,5,All_Regimes
