Model,Train_Accuracy,Validation_Accuracy,Validation_Balanced_Accuracy,Validation_F1,Validation_ROC_AUC,Test_Accuracy,Test_Balanced_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC
XGBoost,0.8013876843018214,0.7246753246753247,0.48606271777003485,0.0,0.5534380999786673,0.7350649350649351,0.5578693474738547,0.40816326530612246,0.21505376344086022,0.28169014084507044,0.5508174988952718
RandomForest,0.7493495229835212,0.7090909090909091,0.5562468889995023,0.3,0.5616511412927541,0.4961038961038961,0.546895713654441,0.27149321266968324,0.6451612903225806,0.3821656050955414,0.5470245986154072
Logistic,0.5897658282740676,0.5792207792207792,0.5396963663514186,0.35714285714285715,0.5608689468818886,0.37142857142857144,0.5233281779348947,0.25249169435215946,0.8172043010752689,0.38578680203045684,0.48508616880247457
