Model,Horizon,Target,Threshold,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Predicted_Positive_Rate,Number_of_Positive_Predictions,True_Positive,False_Positive,True_Negative,False_Negative
XGBoost,10,Return_AtLeast_1.0pct,0.5,0.5023741690408358,0.514445932373619,0.42546063651591287,0.5839080459770115,0.49224806201550386,0.5669515669515669,597,254,343,275,181
XGBoost,10,Return_AtLeast_1.0pct,0.51,0.5014245014245015,0.51193505189153,0.42346938775510207,0.5724137931034483,0.4868035190615836,0.5584045584045584,588,249,339,279,186
XGBoost,10,Return_AtLeast_1.0pct,0.52,0.5052231718898386,0.514150206450173,0.42560553633217996,0.5655172413793104,0.4856860809476802,0.5489078822412156,578,246,332,286,189
XGBoost,10,Return_AtLeast_1.0pct,0.53,0.5118708452041786,0.5191329092735186,0.43033509700176364,0.5609195402298851,0.4870259481037924,0.5384615384615384,567,244,323,295,191
XGBoost,10,Return_AtLeast_1.0pct,0.54,0.5147198480531814,0.5205390023434885,0.43189964157706096,0.5540229885057472,0.48539778449144005,0.5299145299145299,558,241,317,301,194
XGBoost,10,Return_AtLeast_1.0pct,0.55,0.5175688509021842,0.5219450954134583,0.4335154826958106,0.5471264367816092,0.483739837398374,0.5213675213675214,549,238,311,307,197
XGBoost,10,Return_AtLeast_1.0pct,0.56,0.5232668566001899,0.5261187367481308,0.437847866419295,0.542528735632184,0.48459958932238195,0.5118708452041786,539,236,303,315,199
XGBoost,10,Return_AtLeast_1.0pct,0.57,0.5242165242165242,0.5245452516460216,0.43702290076335876,0.5264367816091954,0.47758081334723673,0.4976258309591643,524,229,295,323,206
XGBoost,10,Return_AtLeast_1.0pct,0.58,0.5289648622981956,0.5268887400959714,0.4400785854616896,0.5149425287356322,0.4745762711864407,0.48338081671415006,509,224,285,333,211
XGBoost,10,Return_AtLeast_1.0pct,0.59,0.5289648622981956,0.5231447383104564,0.43737166324435317,0.4896551724137931,0.46203904555314534,0.4624881291547958,487,213,274,344,222
XGBoost,10,Return_AtLeast_1.0pct,0.6,0.533713200379867,0.5258285905590894,0.4409282700421941,0.4804597701149425,0.4598459845984598,0.45014245014245013,474,209,265,353,226
XGBoost,10,Return_AtLeast_1.0pct,0.61,0.5327635327635327,0.522636982479634,0.43817787418655096,0.46436781609195404,0.45089285714285715,0.43779677113010446,461,202,259,359,233
XGBoost,10,Return_AtLeast_1.0pct,0.62,0.5394112060778727,0.52659859390693,0.4436936936936937,0.4528735632183908,0.4482366325369738,0.42165242165242167,444,197,247,371,238
XGBoost,10,Return_AtLeast_1.0pct,0.63,0.5432098765432098,0.5284733846668899,0.44675925925925924,0.4436781609195402,0.44521337946943484,0.41025641025641024,432,193,239,379,242
XGBoost,10,Return_AtLeast_1.0pct,0.64,0.5470085470085471,0.5296674478294834,0.4495192307692308,0.4298850574712644,0.4394829612220917,0.3950617283950617,416,187,229,389,248
XGBoost,10,Return_AtLeast_1.0pct,0.65,0.5451092117758785,0.5246456868653052,0.44472361809045224,0.4068965517241379,0.4249699879951981,0.3779677113010446,398,177,221,397,258
XGBoost,10,Return_AtLeast_1.0pct,0.66,0.5460588793922128,0.5240932931592457,0.44473007712082263,0.39770114942528734,0.4199029126213592,0.3694207027540361,389,173,216,402,262
XGBoost,10,Return_AtLeast_1.0pct,0.67,0.5451092117758785,0.5219227764758397,0.4424083769633508,0.38850574712643676,0.41370869033047736,0.3627730294396961,382,169,213,405,266
XGBoost,10,Return_AtLeast_1.0pct,0.68,0.5451092117758785,0.5195402298850574,0.44021739130434784,0.3724137931034483,0.40348692403486924,0.34947768281101615,368,162,206,412,273
XGBoost,10,Return_AtLeast_1.0pct,0.69,0.5470085470085471,0.5194565338689878,0.4410112359550562,0.36091954022988504,0.3969658659924147,0.3380816714150047,356,157,199,419,278
XGBoost,10,Return_AtLeast_1.0pct,0.7,0.5441595441595442,0.5136257114161367,0.4336283185840708,0.33793103448275863,0.3798449612403101,0.32193732193732194,339,147,192,426,288
XGBoost,10,Return_AtLeast_1.0pct,0.71,0.5470085470085471,0.51435107688874,0.43558282208588955,0.3264367816091954,0.3731931668856767,0.30959164292497626,326,142,184,434,293
XGBoost,10,Return_AtLeast_1.0pct,0.72,0.5498575498575499,0.5147360785626605,0.43729903536977494,0.31264367816091954,0.3646112600536193,0.29534662867996203,311,136,175,443,299
