Strategy,Threshold,Total_Return,CAGR,Sharpe,Sortino,Max_Drawdown,Win_Rate,Profit_Factor,Trades,Exposure,Buy_Hold_Return,Excess_Return,Final_Equity
Fixed_100pct,0.7,-0.19095355469306485,-0.06302008608995524,-0.4990094586473539,-0.40247464783689796,-0.28624008326694594,0.631578947368421,0.8285894545689062,38,0.34668335419274093,-0.31039833768722,0.11944478299415517,80904.64453069352
Fixed_75pct,0.7,-0.14326218377564126,-0.046388463909159405,-0.4990094586473667,-0.4024746478369094,-0.2204209164990717,0.631578947368421,0.8285894545689062,38,0.2600125156445557,-0.31039833768722,0.16713615391157877,85673.78162243587
Fixed_50pct,0.7,-0.09536744506894712,-0.030319506858042633,-0.49900945864736657,-0.4024746478369092,-0.15075673147495328,0.631578947368421,0.8285894545689062,38,0.17334167709637047,-0.31039833768722,0.2150308926182729,90463.25549310529
Fixed_25pct,0.7,-0.047524353046196066,-0.014846047431246956,-0.49900945864736734,-0.40247464783691045,-0.07726676845379765,0.631578947368421,0.8285894545689062,38,0.08667083854818523,-0.31039833768722,0.26287398464102396,95247.5646953804
Confidence_Sizing,0.7,-0.09716079302205627,-0.030910425710109046,-0.4070897692510783,-0.3106601153813006,-0.17909865511435386,0.631578947368421,0.8285894545689062,38,0.17353855912069704,-0.31039833768722,0.21323754466516376,90283.92069779437
Volatility_Sizing,0.7,-0.16947484338717422,-0.055447916842254474,-0.5387835158810629,-0.4457188327374001,-0.2622056634796275,0.631578947368421,0.8285894545689062,38,0.2893005448329114,-0.31039833768722,0.1409234943000458,83052.51566128258
