Entry_Date,Exit_Date,Entry_Price,Exit_Price,Predicted_Return,Actual_Return,Strategy_Return
2024-06-04,2024-06-11,3443.46240234375,3570.541748046875,0.022836223,0.03690452540345146,0.03690452540345146
2024-10-22,2024-10-29,3739.744140625,3795.390869140625,0.021279242,0.014879822368362605,0.014879822368362605
2024-11-04,2024-11-11,3691.92041015625,3910.36328125,0.023371384,0.05916781696940898,0.05916781696940898
2025-02-24,2025-03-04,3486.175048828125,3350.022705078125,0.029683612,-0.039054936095583415,-0.03
2025-03-05,2025-03-12,3364.24951171875,3325.5048828125,0.04133277,-0.011516574133782376,-0.011516574133782376
2025-03-13,2025-03-21,3330.104736328125,3393.69970703125,0.028133819,0.01909698815456684,0.01909698815456684
2025-04-03,2025-04-11,3227.765380859375,3064.9619140625,0.032725785,-0.05043844505003314,-0.03
2025-04-15,2025-04-23,3080.80126953125,3237.108154296875,0.022651084,0.050735789520564456,0.050735789520564456
2025-07-28,2025-08-04,2956.564697265625,2951.859619140625,0.021943899,-0.001591400360476336,-0.001591400360476336
2025-08-08,2025-08-18,2915.37451171875,2891.178955078125,0.033249065,-0.008299296211641938,-0.008299296211641938
2025-08-19,2025-08-26,2895.979736328125,3031.35986328125,0.03874644,0.04674760850529158,0.04674760850529158
2025-09-29,2025-10-07,2780.666748046875,2855.17333984375,0.02306134,0.026794505975664906,0.026794505975664906
