Date,Close,High,Low,Open,Volume,Daily_Return,Daily_Return_Pct,Price_Change,High_Low_Range,High_Low_Range_Pct,Open_Close_Change,Open_Close_Change_Pct,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,EMA_5,EMA_10,EMA_20,EMA_50,EMA_200,Close_vs_SMA20,Close_vs_SMA50,Close_vs_SMA200,RSI_14,MACD,MACD_Signal,MACD_Histogram,Volatility_5,Volatility_10,Volatility_20,Volatility_20_Pct,Volume_SMA_5,Volume_SMA_20,Volume_Ratio,Volume_Change,Momentum_5,Momentum_10,Momentum_20,Momentum_60,Rolling_High_20,Rolling_Low_20,Price_Position_20,Rolling_High_50,Rolling_Low_50,Price_Position_50,News_Sentiment,News_Count,Has_News,News_Sentiment_Lag1,News_Sentiment_MA3,News_Sentiment_MA5,News_Count_MA3,News_Sentiment_Change,News_Sentiment_Lag2,News_Sentiment_Lag3,News_Sentiment_MA5_Trading,News_Sentiment_MA10,News_Count_MA5,News_Count_MA10,News_Sentiment_Abs,News_Positive,News_Negative,News_Neutral,News_Return_Interaction,News_Momentum_Interaction,News_Volume_Interaction,Target_Return_1D,Target_Return_5D,Target_Return_10D,Target_Direction_1D,Target_Direction_5D
2024-01-01,3811.10009765625,3832.0,3773.0,3790.0,825907,0.0046660504476641,0.4666050447664105,17.7001953125,59.0,1.5481094300378997,21.10009765625,0.5567308088720316,3802.22998046875,3807.8099853515614,3720.232495117188,3543.5349951171875,3519.344001464844,3390.260745849609,3802.479521631726,3783.930399712285,3724.642768319391,3613.7734299386498,3454.223857469098,0.0244252483301315,0.0755079610918909,0.1241318539648716,64.50751583944421,79.26954900078545,80.66801074190542,-1.3984617411199736,0.0050899086724233,0.0066692755561091,0.0150219990457046,1.5021999045704604,1332599.8,2261298.05,0.3652357989695343,-0.4756132713987845,-0.0033734054246208,-0.0129240876311188,0.0852733625617521,0.0845938192406861,3929.0,3498.0,0.7264503425899071,3929.0,3311.0,0.8092234589906958,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,-0.0,0.0,-0.0073207593003219,-0.0348455945593751,0.0243236726395308,0,0
2024-01-02,3783.199951171875,3811.10009765625,3767.25,3811.10009765625,1344068,-0.0073207593003219,-0.7320759300321944,-27.900146484375,43.85009765625,1.1590742816188475,-27.900146484375,-0.7320759300321981,3799.7599609375,3800.2099853515615,3733.769995117188,3549.453994140625,3522.740500488281,3392.4924951171874,3796.0529981451095,3783.797590886756,3730.21964287677,3620.417607241913,3457.4972514362903,0.0132386183721356,0.0658540602067567,0.1151682595074366,59.60406512609919,74.23875666918048,79.38215992736043,-5.143403258179959,0.0050504099208425,0.0069237428862423,0.0152207047046034,1.5220704704603425,1344367.2,2247240.8,0.5980970085626783,0.6273841970100751,-0.003253836070496,-0.0196932009125161,0.077082948871533,0.069380242010282,3929.0,3502.800048828125,0.6579069321166399,3929.0,3311.0,0.7640775908930016,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.0,-0.0,0.0,-0.0241726454726632,-0.0246616753098721,0.0206439254240469,0,0
2024-01-03,3691.75,3771.85009765625,3687.050048828125,3767.0,1803075,-0.0241726454726632,-2.417264547266329,-91.449951171875,84.800048828125,2.2970149340590504,-75.25,-1.9976108308999203,3775.869970703125,3787.764990234375,3741.777490234375,3554.17599609375,3524.8175,3394.2962451171875,3761.28533209674,3767.061665270981,3726.555867364697,3623.214955977525,3459.828124556327,-0.0133699800068125,0.0387077072315641,0.0876334101098895,58.30373271290047,62.15607418860873,75.93694277961009,-13.780868591001363,0.0108732817598891,0.0095650563618105,0.016446449537478,1.6446449537478074,1446187.0,2268511.75,0.7948272694642203,0.341505786909591,-0.0313418221825769,-0.0326109618898923,0.0453476888422428,0.0285288142860777,3929.0,3525.14990234375,0.4125295465399566,3929.0,3311.0,0.6161003236245954,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.0,-0.0,0.0,-0.0067582992271618,0.0057696346795219,0.0522381249153518,0,1
2024-01-04,3666.800048828125,3719.0,3651.0,3701.75,3598144,-0.0067582992271618,-0.6758299227161868,-24.949951171875,68.0,1.854477994286385,-34.949951171875,-0.944146719034916,3749.25,3776.439990234375,3744.912487792969,3557.62099609375,3526.7794995117188,3396.220495605469,3729.790237673869,3748.832280463189,3720.8648370278806,3624.924175305,3461.8875466883846,-0.0208582815271282,0.0306887813103906,0.0796707850897113,49.95853367142378,49.99094424067653,70.74774307182338,-20.756798831146853,0.0107135229582673,0.0094066264623121,0.0159840290623683,1.5984029062368306,1829238.0,2353590.35,1.5287894089130676,0.9955598075509892,-0.035027199909537,-0.0299599207780619,0.0173968395640977,0.0125366288475878,3929.0,3563.0,0.2836066907872268,3929.0,3311.0,0.5757282343497169,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.0,-0.0,0.0,0.0193901637855458,0.0187493179569395,0.0643067649416784,1,1
2024-01-05,3737.89990234375,3747.75,3674.85009765625,3675.0,1963127,0.0193901637855458,1.939016378554581,71.099853515625,72.89990234375,1.9502903835932064,62.89990234375,1.7115619685374148,3738.15,3771.47998046875,3751.062487792969,3564.17599609375,3529.5334985351565,3398.835245361328,3732.493459230496,3746.844575350563,3722.487224200821,3629.354595973186,3464.633938286945,-0.0035090285731185,0.0487416744965447,0.0997590740666738,35.34173299765686,45.56194533980306,65.71058352541931,-20.14863818561625,0.0161325215542236,0.0117498168357401,0.0165046323111429,1.6504632311142946,1906864.2,2353364.05,0.8341790552974582,-0.4544056602515074,-0.0146306747057459,-0.0130957353547854,0.034025838425084,0.0273612494717394,3929.0,3563.0,0.4778685856386612,3929.0,3311.0,0.6907765410093042,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,-0.0,0.0,-0.0159447430569915,0.0387651221996392,0.0548837988828274,0,1
2024-01-08,3678.300048828125,3739.75,3672.39990234375,3737.89990234375,1067805,-0.0159447430569915,-1.5944743056991562,-59.599853515625,67.35009765625,1.831011520599228,-59.599853515625,-1.5944743056991575,3711.589990234375,3756.909985351562,3753.642492675781,3569.939995117188,3531.895498046875,3401.23224609375,3714.428989096373,3734.3819341646654,3718.278921784373,3631.274025496909,3466.7599692376043,-0.0200718219688387,0.030353466405359,0.0814610066844398,31.06552090349973,36.81830323855775,59.932127468047,-23.113824229489254,0.0163669081233404,0.0118987937073227,0.0169674718185867,1.696747181858678,1955243.8,2324696.55,0.4593309178352762,-0.4560693220560871,-0.0348455945593751,-0.0381014516662853,0.0142278375247384,0.0136129812928897,3929.0,3563.0,0.3150274558145491,3929.0,3311.0,0.594336648589199,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.0,-0.0,0.0,0.0031535908875406,0.0613054935721848,0.0489220424606757,1,1
2024-01-09,3689.89990234375,3752.35009765625,3682.75,3709.949951171875,1370944,0.0031535908875406,0.3153590887540636,11.599853515625,69.60009765625,1.8862326756354943,-20.050048828125,-0.5404398736374252,3692.92998046875,3746.344970703125,3755.992492675781,3577.0029931640624,3534.306496582032,3403.756745605469,3706.2526268454985,3726.294292015408,3715.5761580281232,3633.573079490903,3468.980267079457,-0.0175965714683701,0.0315618715990572,0.0840668643867443,35.85030549062577,30.47363402955807,54.04042878034922,-23.566794750791143,0.0169686565639596,0.0120110782268211,0.016955239595884,1.6955239595884093,1960619.0,2338118.6,0.5863449356247369,0.2838898488019816,-0.0246616753098721,-0.027835266331686,0.0129018093441879,0.0221612793052958,3929.0,3563.0,0.3467210446550546,3929.0,3311.0,0.6131066380966829,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,-0.0,0.0,0.0062739226258334,0.0464511642647826,0.0411664680626948,1,1
2024-01-10,3713.050048828125,3729.25,3688.0,3690.0,1292227,0.0062739226258334,0.6273922625833483,23.150146484375,41.25,1.1109465118311266,23.050048828125,0.6246625698678862,3697.189990234375,3736.52998046875,3758.039990234375,3584.2449951171875,3536.93849609375,3406.4254956054688,3708.518434173041,3723.8862477995385,3715.335576199552,3636.68982338648,3471.408822121733,-0.0119716505207929,0.0359364535310528,0.0900135798121003,42.26863256396791,27.00219680155033,48.63278238458944,-21.63058558303912,0.0133951239221198,0.0121661560530361,0.0169205337569999,1.6920533756999911,1858449.4,2290886.65,0.5640728667217123,-0.0574181002287474,0.0057696346795219,-0.025753018367239,0.0111516434963228,0.0481291718253638,3929.0,3563.0,0.409972811005806,3929.0,3311.0,0.6505664220519822,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0060597082463516,0.0462019220242582,0.026191405642564,1,1
2024-01-11,3735.550048828125,3773.0,3707.0,3724.0,1777909,0.0060597082463516,0.6059708246351603,22.5,66.0,1.7668080774531394,11.550048828125,0.3101516871139903,3710.939990234375,3730.0949951171874,3765.139990234375,3591.3849951171874,3539.709997558594,3409.3867456054686,3717.5289723914025,3726.006938895645,3717.26076406894,3640.5666949724273,3474.037093034234,-0.0078589219744809,0.0401419101285278,0.095666267149969,44.20653862552622,25.7695642519534,44.06013875806224,-18.29057450610884,0.0126940103700307,0.0124621511426684,0.01613013726393,1.613013726393007,1494402.4,2187233.7,0.8128573549319398,0.3758488253224858,0.0187493179569395,-0.0169346180608427,0.0395152420504918,0.0461234570669815,3929.0,3627.60009765625,0.3581618651248163,3929.0,3311.0,0.6869741890422735,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0394185590007538,0.0447189963043139,0.0175208336968761,1,1
2024-01-12,3882.800048828125,3905.25,3821.60009765625,3848.0,6813450,0.0394185590007538,3.941855900075386,147.25,83.64990234375,2.1543705905998567,34.800048828125,0.9043671732880718,3739.92001953125,3739.035009765625,3775.917492675781,3601.66599609375,3544.180498046875,3413.2702453613283,3772.619331203644,3754.5147770651865,3733.026410236481,3650.066042182455,3478.104386126711,0.0283063802002203,0.0780566696188052,0.1375601021058596,55.25845682648544,36.25659499797348,42.49943000604448,-6.242835008071005,0.0199404891972005,0.0179940949750994,0.0177420422608687,1.7742042260868722,2464467.0,2363386.4,2.8829183412411954,2.832282754629174,0.0387651221996392,0.0235672876010617,0.058777026062615,0.1018004838266406,3929.0,3651.0,0.8338131252810251,3929.0,3311.0,0.9252427974565128,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0054084680477786,0.0155171523751742,-0.021183166520466,1,1
2024-01-15,3903.800048828125,3965.0,3885.0,3960.0,2801505,0.0054084680477786,0.5408468047778614,21.0,80.0,2.0492852861153854,-56.199951171875,-1.4191906861584596,3785.02001953125,3748.3050048828127,3778.057495117188,3613.1289990234377,3549.547497558594,3417.135245361328,3816.346237078471,3781.657553749357,3749.290566292828,3660.0163953842457,3482.340163865033,0.0332823293116764,0.0804485668469767,0.1424189470192705,59.81147640379224,45.73496273348246,43.14653655153209,2.588426181950375,0.0153422611036532,0.0180056601948682,0.0133604289703181,1.336042897031819,2811207.0,2076900.15,1.3488876679988684,-0.5888272461087996,0.0613054935721848,0.0243236726395308,0.011085223731708,0.1131292666132819,3965.0,3651.0,0.8050956969048567,3965.0,3322.35009765625,0.9047693760651356,0.7134718298912048,1,1,0.0,0.2378239432970682,0.1426943659782409,0.3333333333333333,0.7134718298912048,0.0,0.0,0.1426943659782409,0.0713471829891204,0.2,0.1,0.7134718298912048,1,0,0,0.0038587895949567,0.0437397426813302,0.9623933528048326,-0.0108868280824879,-0.0116681306056642,-0.022503739063844,0,0
2024-01-16,3861.300048828125,3899.0,3855.550048828125,3899.0,1432672,-0.0108868280824879,-1.0886828082487976,-42.5,43.449951171875,1.1252674131103002,-37.699951171875,-0.9669133411611952,3819.300048828125,3756.115014648437,3778.1625,3623.152998046875,3554.1439990234376,3420.81849609375,3831.3308409950223,3796.1380074000417,3759.958136058095,3667.909871989888,3486.1109089890447,0.0220047572935587,0.0657292283570766,0.1287649588066022,54.330172658275714,49.249524774311794,44.36713419608803,4.882390578223763,0.0183672674177717,0.018256458971813,0.0136065763107851,1.3606576310785103,2823552.6,2022453.15,0.7083832819563707,-0.488606302683736,0.0464511642647826,0.0206439254240469,0.000544179540532,0.1072621833330347,3965.0,3651.0,0.6697453784335191,3965.0,3322.35009765625,0.8386369455691499,0.0,0,0,0.7134718298912048,0.2378239432970682,0.1426943659782409,0.3333333333333333,-0.7134718298912048,0.0,0.0,0.1426943659782409,0.0713471829891204,0.2,0.1,0.0,0,0,1,-0.0,0.0,0.0,0.006034249743217,-0.0050501125924979,-0.0018517458871255,1,0
