Threshold,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Predicted_Positive_Rate,Number_of_Positive_Predictions
0.2,0.257372654155496,0.48839724105681553,0.23949579831932774,0.9395604395604396,0.38169642857142855,0.9571045576407506,714
0.21,0.26273458445040215,0.49008261242303797,0.2401129943502825,0.9340659340659341,0.38202247191011235,0.9490616621983914,708
0.22,0.2613941018766756,0.4854746317512275,0.23829787234042554,0.9230769230769231,0.3788049605411499,0.9450402144772118,705
0.23,0.2640750670241287,0.48352622554750213,0.2374821173104435,0.9120879120879121,0.376844494892168,0.9369973190348525,699
0.24,0.2707774798927614,0.4860981217364196,0.2384393063583815,0.9065934065934066,0.37757437070938216,0.9276139410187667,692
0.25,0.27479892761394104,0.48317551243083157,0.23718887262079064,0.8901098901098901,0.3745664739884393,0.9155495978552279,683
0.26,0.27479892761394104,0.47573260073260076,0.23407407407407407,0.8681318681318682,0.3687281213535589,0.9048257372654156,675
0.27,0.28820375335120646,0.4827371210349934,0.2368024132730015,0.8626373626373627,0.3715976331360947,0.8887399463806971,663
0.28,0.2949061662198391,0.48716974514846856,0.23860182370820668,0.8626373626373627,0.3738095238095238,0.8820375335120644,658
0.29,0.29892761394101874,0.4823864079183228,0.23647604327666152,0.8406593406593407,0.3691194209891435,0.8672922252010724,647
0.3,0.3096514745308311,0.4876178785753254,0.23861852433281006,0.8351648351648352,0.3711843711843712,0.853887399463807,637
0.31,0.3190348525469169,0.48638064063595976,0.2379421221864952,0.8131868131868132,0.3681592039800995,0.8337801608579088,622
0.32,0.3257372654155496,0.4833703530512041,0.23645320197044334,0.7912087912087912,0.3640960809102402,0.8163538873994638,609
0.33,0.33646112600536193,0.4848803678590913,0.23697478991596638,0.7747252747252747,0.36293436293436293,0.7975871313672922,595
0.34,0.3445040214477212,0.4846173330215883,0.2367066895368782,0.7582417582417582,0.3607843137254902,0.7815013404825737,583
0.35,0.353887399463807,0.48524082300678045,0.23684210526315788,0.7417582417582418,0.35904255319148937,0.7640750670241286,570
0.36,0.35924932975871315,0.48506546644844517,0.23665480427046262,0.7307692307692307,0.3575268817204301,0.7533512064343163,562
0.37,0.36863270777479895,0.487549684358195,0.23774954627949182,0.7197802197802198,0.35743519781718963,0.7386058981233244,551
0.38,0.3726541554959786,0.48834853090172237,0.23809523809523808,0.7142857142857143,0.35714285714285715,0.7319034852546917,546
0.39,0.38337801608579086,0.4917192736341673,0.2397003745318352,0.7032967032967034,0.3575418994413408,0.7158176943699732,534
0.4,0.4008042895442359,0.4995226404800873,0.2437137330754352,0.6923076923076923,0.3605150214592275,0.693029490616622,517
0.41,0.41152815013404825,0.5028933832125322,0.24554455445544554,0.6813186813186813,0.3609898107714702,0.6769436997319035,505
0.42,0.4222520107238606,0.5099855817940925,0.24949698189134809,0.6813186813186813,0.36524300441826213,0.6662198391420912,497
0.43,0.4316353887399464,0.5106090717792845,0.25,0.6648351648351648,0.3633633633633634,0.6487935656836461,484
0.44,0.4410187667560322,0.5112325617644766,0.2505307855626327,0.6483516483516484,0.3614088820826952,0.631367292225201,471
0.45,0.450402144772118,0.5137167796742265,0.25217391304347825,0.6373626373626373,0.3613707165109034,0.6166219839142091,460
