Threshold,Final_Equity,Total_Return,CAGR,Sharpe,Max_Drawdown,Win_Rate,Profit_Factor,Trades,Exposure,Buy_Hold_Return,Excess_Return,Model
0.5,69770.83517954356,-0.30229164820456444,-0.10468048931614171,-0.6091802761400053,-0.4753433460554807,0.55,1.0115372414878465,20,0.6032540675844806,-0.31039833768722,0.008106689482655582,Logistic
0.55,76283.7590322312,-0.23716240967768798,-0.07979581385843448,-0.45281165624880537,-0.4301374777824558,0.6,1.449834932634535,30,0.5319148936170213,-0.31039833768722,0.07323592800953205,Logistic
0.6,76021.65628772638,-0.2397834371227362,-0.08076822439141707,-0.5255821449104879,-0.37875685496738376,0.6333333333333333,1.179370078057187,30,0.4430538172715895,-0.31039833768722,0.07061490056448383,Logistic
0.65,67024.08402022091,-0.3297591597977909,-0.11565910857333628,-0.9161948068138905,-0.4225316500607549,0.5862068965517241,0.7964599372592128,29,0.35168961201501875,-0.31039833768722,-0.019360822110570886,Logistic
0.7,67822.55372538308,-0.32177446274616917,-0.1124360240938388,-0.9863512295976494,-0.4020299763782873,0.4375,0.3596134202941795,16,0.26032540675844806,-0.31039833768722,-0.011376125058949138,Logistic
0.5,68886.89721572035,-0.31113102784279645,-0.10818034200206861,-0.667032876882468,-0.42932242513290775,0.6,0.5763941865903749,25,0.5556946182728411,-0.31039833768722,-0.0007326901555764209,XGBoost
0.55,68010.46878053663,-0.31989531219463374,-0.11168131584136576,-0.7141845650180662,-0.4187525742889008,0.625,0.5931107769018202,32,0.5244055068836045,-0.31039833768722,-0.009496974507413714,XGBoost
0.6,67651.22289405433,-0.3234877710594567,-0.1131253900571646,-0.7784668179293269,-0.3879139653081378,0.5882352941176471,0.5258393765553403,34,0.4618272841051314,-0.31039833768722,-0.01308943337223667,XGBoost
0.65,77123.09528558163,-0.22876904714418367,-0.07669733692434821,-0.5383614530420184,-0.28379338193010983,0.6285714285714286,0.7579328891323052,35,0.4142678347934919,-0.31039833768722,0.08162929054303636,XGBoost
0.7,80904.64453069352,-0.19095355469306485,-0.06302008608995524,-0.4990094586473539,-0.28624008326694594,0.631578947368421,0.8285894545689062,38,0.34668335419274093,-0.31039833768722,0.11944478299415517,XGBoost
