Date,Close,High,Low,Open,Volume,Daily_Return,Daily_Return_Pct,Price_Change,High_Low_Range,High_Low_Range_Pct,Open_Close_Change,Open_Close_Change_Pct,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,EMA_5,EMA_10,EMA_20,EMA_50,EMA_200,Close_vs_SMA20,Close_vs_SMA50,Close_vs_SMA200,RSI_14,MACD,MACD_Signal,MACD_Histogram,Volatility_5,Volatility_10,Volatility_20,Volatility_20_Pct,Volume_SMA_5,Volume_SMA_20,Volume_Ratio,Volume_Change,Momentum_5,Momentum_10,Momentum_20,Momentum_60,Rolling_High_20,Rolling_Low_20,Price_Position_20,Rolling_High_50,Rolling_Low_50,Price_Position_50,News_Sentiment,News_Count,Has_News,News_Sentiment_Lag1,News_Sentiment_MA3,News_Sentiment_MA5,News_Count_MA3,News_Sentiment_Change,News_Sentiment_Lag2,News_Sentiment_Lag3,News_Sentiment_MA5_Trading,News_Sentiment_MA10,News_Count_MA5,News_Count_MA10,News_Sentiment_Abs,News_Positive,News_Negative,News_Neutral,News_Return_Interaction,News_Momentum_Interaction,News_Volume_Interaction,Return_1,Return_3,Return_5,Return_10,Return_20,Return_60,Trend_5_20,Trend_10_50,Trend_20_50,Trend_50_200,EMA_5_20,EMA_20_50,EMA_50_200,Price_vs_EMA20,Price_vs_EMA50,Price_vs_EMA200,Momentum_3,Momentum_Acceleration_5,Momentum_Acceleration_10,RSI_Distance_50,RSI_Overbought,RSI_Oversold,MACD_Distance,MACD_Positive,MACD_Momentum,Vol_Ratio_5_20,Vol_Ratio_10_20,Volatility_Expansion,Volatility_Percentile_60,High_Volatility_Regime,Volume_Ratio_5_20,Volume_Surge,Volume_Dry,Breakout_Distance_20,Breakdown_Distance_20,Breakout_Distance_50,Breakdown_Distance_50,Near_20D_High,Near_20D_Low,Near_50D_High,Near_50D_Low,Body_Size,Upper_Wick,Lower_Wick,Body_to_Range,Bullish_Candle,Distance_SMA20,Distance_SMA50,ZScore_20,ZScore_60,Return_Mean_20,Return_Std_20,Return_Skew_60,Return_Kurtosis_60,News_Sentiment_Lag1_V4,News_Sentiment_Momentum,News_Activity_Surge
2019-01-18,1900.6500244140625,1904.199951171875,1876.0,1881.0,1683728,0.0033521487738259,0.3352148773825947,6.3499755859375,28.199951171875,1.4837003556490396,19.6500244140625,1.0446583952186337,1869.230029296875,1875.565026855469,1888.005017089844,1920.2630053710936,1973.643994140625,1887.720870361328,1882.368368981148,1881.244514913244,1893.5582522559512,1919.3162788248817,1852.533345966342,0.0066975496408954,-0.0102136951564303,0.0068490814800705,51.39193505331514,-16.99013896472752,-18.881518510534,1.891379545806476,0.0168556229815433,0.0151147514245634,0.0143308611583385,1.4330861158338526,3599169.4,3171867.9,0.5308316906892623,-0.3587791376090328,0.031532373095042754,0.012680847770315307,-0.02732786933788489,0.0309169306783783,1950.0,1808.0,0.652464960662412,2029.699951171875,1784.5,0.4736951368014186,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.003352148773825947,0.017587522607972916,0.031532373095042754,0.012680847770315307,-0.02732786933788489,0.030916930678378307,-0.009944352701937498,-0.023277008613196037,-0.01679873443951274,0.017238848984880262,-0.00590944760293044,-0.01342041791293569,0.03604951727533057,0.0037452093959413624,-0.009725470792259272,0.025973447955734974,0.017587522607972916,0.04980763601109128,0.052188573423752826,1.3919350533151373,0,0,1.8913795458064797,1,2.652352239523019,1.176176560173828,1.0546994529891727,0.002524761823204798,0.26666666666666666,0,1.134716045393946,0,1,-0.025307679787660242,0.05124448252990188,-0.06358079019674989,0.06508827369798964,0,0,0,0,0.010446583952186337,0.0018872550546584264,0.002658160552897395,0.6968105829059242,1,0.006697549640895195,-0.010213695156430336,0.5039186458178003,-0.2590548738606643,-0.0012867130084519064,0.014330861158338518,0.34907237048307566,1.0209877820841442,0.0,0.0,0
2019-01-21,1908.699951171875,1932.0,1895.449951171875,1902.0,2409803,0.0042353545652331,0.4235354565233162,8.0499267578125,36.550048828125,1.914918518527993,6.699951171875,0.352258210929285,1888.32001953125,1876.64501953125,1888.6500122070315,1919.59400390625,1972.3799938964844,1889.990245361328,1891.1455630447235,1886.2364124148128,1895.0003188193723,1918.899952250254,1853.0922176599288,0.0106160161148194,-0.0056751858529492,0.0098993663361315,51.08733799716714,-13.705843481192687,-17.846383504665738,4.140540023473051,0.0118851353529087,0.0147663719887721,0.012692862159498,1.2692862159498004,3358056.0,3105860.25,0.7758890632635516,0.4312305788108292,0.052640259849372706,0.005690461361971266,0.00680446355707387,0.0325669197575737,1944.949951171875,1808.0,0.7353047614123972,2029.699951171875,1784.5,0.5065251872126841,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0042353545652331626,0.020613280354280894,0.052640259849372706,0.005690461361971266,0.00680446355707387,0.03256691975757375,-0.00017472410115626502,-0.02237399381723515,-0.016120071033900674,0.015663445151412603,-0.0020341715705094465,-0.012454861652821059,0.03551239056706357,0.007229356225669559,-0.00531554605878104,0.030008076760565716,0.020613280354280894,0.09724220058658117,0.0045827624845313775,1.0873379971671397,0,0,4.140540023473051,1,2.2491604776665746,0.9363636982392594,1.1633603046514218,-0.0008077268065893005,0.23333333333333334,0,1.0811999670622656,0,0,-0.0186380117278383,0.05569687564816106,-0.05961472282153768,0.06959930018037275,0,0,0,0,0.0035225821092928497,0.012250288553167718,0.0034437690999605678,0.18330895270107286,1,0.010616016114819216,-0.005675185852949238,0.7872828979111814,-0.13207906383485682,0.0004155487845583339,0.012692862159497997,0.343758625594751,1.0136471624847225,0.0,0.0,0
2019-01-22,1901.9000244140625,1918.25,1890.0,1907.0999755859373,2457093,-0.0035625959720057,-0.35625959720057,-6.7999267578125,28.25,1.485356729447609,-5.199951171874773,-0.2726627464969234,1895.1400146484373,1877.480017089844,1887.8200134277345,1919.4480053710936,1970.968994140625,1892.2216204833985,1894.73038350117,1889.084341869222,1895.6574336379144,1918.2332884135408,1853.5778674783785,0.0074583439555568,-0.0091422017725552,0.0051148363520925,45.84627209620044,-11.518929855329588,-16.58089277479851,5.061962919468922,0.0059996693568489,0.0148000754741289,0.0124207582262266,1.2420758226226696,2307144.0,3135509.1,0.7836344662498348,0.0196240107593856,0.01825675912543856,0.004409693628697697,-0.00865258044614936,0.026389651599602,1944.949951171875,1808.0,0.685652120432055,2029.699951171875,1784.5,0.4787930170988083,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.0,0.0,0.0,-0.0035625959720057,0.00401202311673865,0.01825675912543856,0.004409693628697697,-0.00865258044614936,0.02638965159960205,0.0038774889389014966,-0.021864613244960363,-0.016477649748707024,0.014388581439387371,-0.0004890388528507872,-0.011769087165772962,0.03488141613555196,0.0032931006759844283,-0.00851474327868984,0.0260696665532707,0.00401202311673865,0.03185555468721213,0.017414619962747735,-4.153727903799563,0,0,5.061962919468922,1,0.921422895995871,0.48303567685429355,1.1915597425347464,-0.0064210888693777,0.23333333333333334,0,0.7358116103059628,0,0,-0.022134207994336297,0.051935854211317745,-0.06296493562214722,0.06578875002188989,0,0,0,0,-0.0027266274649692343,0.005846586207750852,0.006239853477218118,0.18406906803031384,0,0.00745834395555689,-0.009142201772555203,0.5699893200966563,-0.2759099666886773,-0.0003612715559560886,0.012420758226226687,0.36225181222258646,1.0154059679772598,0.0,0.0,0
2019-01-23,1875.5999755859373,1906.0999755859373,1870.0,1901.0,2578169,-0.0138283024820022,-1.3828302482002286,-26.300048828125227,36.09997558593727,1.9247161471443104,-25.400024414062727,-1.3361401585514323,1896.2300048828124,1876.34501953125,1887.1400146484373,1918.6630053710933,1969.2159948730468,1894.322370605469,1888.3535808627591,1886.6326389086248,1893.747199537726,1916.5613937928504,1853.796992932185,-0.0061150942552877,-0.0224442904588278,-0.0098834260261347,45.32720022750834,-11.77227572613765,-15.619169365066336,3.846893638928688,0.0099738536326104,0.0154592378347713,0.0123334059685225,1.233340596852258,2350921.8,3142086.85,0.820527605721656,0.0492761161258445,0.0029141785956889876,-0.0060149849649636655,-0.0071988015760331425,0.0425212612073351,1944.949951171875,1808.0,0.4936108045858148,2029.699951171875,1784.5,0.3715334165057805,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.0,0.0,0.0,-0.013828302482002286,-0.013179727201933278,0.0029141785956889876,-0.0060149849649636655,-0.0071988015760331425,0.042521261207335126,0.004816807530875433,-0.02205597633423828,-0.016429665154542916,0.012849256886432014,-0.0028481196837061296,-0.011903711683336926,0.03385721365390171,-0.009582706686625642,-0.021372348592418988,0.011761256888903393,-0.013179727201933278,0.011817396589032692,-0.004824004625056166,-4.672799772491658,0,0,3.8468936389286856,1,-1.2150692805402339,0.8086860724495581,1.2534443343733752,-0.002359552335912101,0.23333333333333334,0,0.7482039524146189,0,0,-0.035656431952993395,0.03738936702762019,-0.07592253992860665,0.05105070080467211,0,0,0,0,-0.013361401585514323,0.002682785684343647,0.0029458051477839415,0.7036022601601685,0,-0.0061150942552875565,-0.022444290458827676,-0.46440651523585397,-0.8217304106992899,-0.00028906799806180383,0.01233340596852257,0.4420825600973332,1.1546205276502104,0.0,0.0,0
2019-01-24,1901.550048828125,1905.25,1875.0,1884.800048828125,1962927,0.0138356118468603,1.383561184686033,25.950073242187727,30.25,1.5908074582965763,16.75,0.8886884319858925,1897.6800048828125,1877.64501953125,1886.77001953125,1917.9950073242187,1967.5394958496088,1896.43524597168,1892.7524035178808,1889.3448952576248,1894.490328041573,1915.972713598156,1854.27214771722,0.0078335086650078,-0.0085740361331992,0.0026970616936749,54.68869553127646,-9.76651777966049,-14.44863904798517,4.68212126832468,0.0102623288062574,0.016116280535904,0.012510339006039,1.2510339006039026,2218344.0,2991823.15,0.6560972696531211,-0.23863524850388,0.0038272711888938105,0.0068835877598618644,-0.0038764255391857683,0.0163281928530865,1944.949951171875,1808.0,0.683096620536343,2029.699951171875,1784.5,0.4773657101835137,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.01383561184686033,-0.003745954066462942,0.0038272711888938105,0.0068835877598618644,-0.0038764255391857683,0.01632819285308651,0.005782360986567481,-0.021037587500950083,-0.016280015158397387,0.011368572377219222,-0.0009173572955047948,-0.01121226069876502,0.033274816728976475,0.0037264485767261046,-0.0075275940349617265,0.02549674338209118,-0.003745954066462942,0.0007826073720318405,0.017570039927571557,4.688695531276458,0,0,4.68212126832468,1,0.8352276293959924,0.8203078111075617,1.2882369157322064,-0.002248010199781599,0.26666666666666666,0,0.7414689601556161,0,1,-0.022314148658478694,0.05174228364387434,-0.06313736287462635,0.06559263033237595,0,0,0,0,0.008886884319858925,0.001963047047974901,0.0051995164337024415,0.5537190082626323,1,0.007833508665007871,-0.008574036133199292,0.6017783937890436,-0.3299690271596674,-0.00011999544378931692,0.012510339006039019,0.29969778309154826,1.2599203430247279,0.0,0.0,0
2019-01-25,1920.800048828125,1935.0,1901.0,1902.0,2327080,0.0101233201891599,1.0123320189159957,19.25,34.0,1.7700957484222946,18.800048828125,0.9884357953798634,1901.710009765625,1885.47001953125,1888.00751953125,1918.7980078125,1966.0274963378904,1898.66349609375,1902.101618621296,1895.0640140886244,1896.9960157355308,1916.162020862076,1854.9341168825024,0.0173688552389964,0.0010433828925575,0.0116590184516203,54.37691230496647,-6.548143117552627,-12.86853986189866,6.320396744346034,0.0110952173888568,0.0136322949374175,0.0126080230228558,1.2608023022855808,2347014.4,2996220.65,0.7766717714865226,0.1855153044407662,0.010601648991257262,0.042468317237714936,0.013053452895558815,0.0137217644764575,1944.949951171875,1808.0,0.8236589196483803,2029.699951171875,1784.5,0.5558730667633139,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.010123320189159957,0.009937443699168824,0.010601648991257262,0.042468317237714936,0.013053452895558815,0.013721764476457565,0.007257646006503693,-0.017369201002686574,-0.01604675852063875,0.010604570931170398,0.002691414659500735,-0.010002288385781877,0.03300812865659952,0.012548277853585477,0.002420477973967161,0.03550850207894185,0.009937443699168824,-0.020930724103785492,0.07068487198165019,4.376912304966467,0,0,6.3203967443460325,1,1.638275476021354,0.8800124625996805,1.0812396925913683,-0.0015128056339989999,0.2833333333333333,0,0.7833249530537746,0,0,-0.012416721740936887,0.06238940753767985,-0.05365320242574534,0.07637996572043981,0,0,0,0,0.009884357953798634,0.0074657997749079915,0.0005257623554153522,0.5529426125902854,1,0.01736885523899656,0.001043382892557565,1.2783593015647543,0.037637273499344495,0.0007240500982313603,0.0126080230228558,0.3056304368263621,1.2970937446845512,0.0,0.0,0
2019-01-28,1955.0,1962.0,1925.5,1933.0,2769033,0.0178050553428195,1.780505534281951,34.199951171875,36.5,1.867007672634272,22.0,1.1381272633212622,1910.97001953125,1899.64501953125,1891.105017089844,1920.4410083007813,1964.7534973144527,1901.1287463378903,1919.734412414197,1905.9614660725108,1902.5202047130992,1917.685078867485,1855.929797311532,0.0337871151166855,0.0179953414605516,0.0283364573629643,60.54210155975136,-1.223800560964719,-10.539592001711874,9.315791440747155,0.0131911931741981,0.0121861341151075,0.0131548091526073,1.3154809152607343,2418860.4,3040685.3,0.9106608303069048,0.1899174072227856,0.024257374135572496,0.078174548462705,0.03272494100735712,0.0086938448384725,1962.0,1808.0,0.9545454545454546,2029.699951171875,1784.5,0.695350872563945,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.01780505534281951,0.04233313363594937,0.024257374135572496,0.078174548462705,0.03272494100735712,0.008693844838472575,0.010504441721578939,-0.010828756873886847,-0.015275653396348732,0.010158313580861833,0.009048107693391705,-0.0079079064240003,0.03327457840561143,0.02758435634843348,0.019458315415663563,0.05338036106321442,0.04233313363594937,-0.02838288571380021,0.1203287687790271,10.542101559751359,0,0,9.315791440747155,1,2.995394696401121,1.0027658342412051,0.9263634290499906,3.6384021590800744e-05,0.31666666666666665,0,0.7954984358295809,0,0,-0.0035677879714577365,0.08130530973451333,-0.03680344532143576,0.09554497057999445,1,0,0,0,0.011381272633212623,0.0036213140196585617,0.0038799793067770304,0.6027397260257459,1,0.03378711511668553,0.017995341460551595,2.1504812160325857,0.6992729780660335,0.0016934147011029965,0.013154809152607336,0.2974466308522528,1.380981416580422,0.0,0.0,0
2019-01-29,1982.75,1989.050048828125,1936.6500244140625,1962.0,2557626,0.0141943734015346,1.419437340153462,27.75,52.4000244140625,2.642795330428067,20.75,1.0575942915392456,1927.1400146484373,1911.1400146484373,1895.1025146484376,1922.3640087890624,1963.796998291016,1903.69849609375,1940.7396082761315,1919.9230176956903,1910.1611375975656,1920.2366444020936,1857.1916898755965,0.0462494691838989,0.0314123604763989,0.0415252226486798,65.32309963214905,5.175314553865746,-7.396610690596351,12.571925244462095,0.0127342018393497,0.0097177121154889,0.0134324127043068,1.3432412704306873,2438967.0,3113822.45,0.821378238826687,-0.0763468691055686,0.04251010807513178,0.061542964004094314,0.04201700079896131,0.0242799948340437,1989.050048828125,1808.0,0.965202722291968,2029.699951171875,1784.5,0.8085238151659947,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.014194373401534621,0.04270197948348309,0.04251010807513178,0.061542964004094314,0.04201700079896131,0.02427999483404375,0.016905417913997578,-0.005838641427590718,-0.014181234155438371,0.009804868120457444,0.016008319966672957,-0.005247013087631869,0.03394639060156468,0.03800143400139033,0.03255502689220435,0.06760654315269643,0.04270197948348309,0.02425334894969322,0.07993690929622077,15.323099632149052,0,0,12.571925244462097,1,3.25613380371494,0.9480204427657859,0.7234524675059406,-0.0006982108649571002,0.3333333333333333,0,0.7832710564470367,0,0,-0.0031673656637432046,0.0966537610619469,-0.023131473765256705,0.11109554497057994,1,0,0,0,0.010575942915392456,0.00321103406122579,0.012920476853179154,0.3959921819118802,1,0.04624946918389905,0.03141236047639917,2.43013534870594,1.2108923809044758,0.0021456124459924676,0.013432412704306866,0.25186353046702525,1.2452406894835197,0.0,0.0,0
2019-01-30,1981.4000244140625,1989.5,1954.6500244140625,1979.5999755859373,2429575,-0.0006808602122998,-0.0680860212299849,-1.3499755859375,34.8499755859375,1.758856119740046,1.8000488281252274,0.0909299277795977,1948.3000244140624,1922.2650146484373,1898.0075134277345,1923.9430102539063,1963.0819995117188,1906.070121459961,1954.2930803221088,1931.100655280849,1916.9457934848515,1922.635208324132,1858.42759370185,0.0439368708481686,0.0298641975640294,0.0395210554459572,64.86313155808001,10.022197978244094,-3.9128489568282623,13.935046935072355,0.0071019214947486,0.0098421134762123,0.0132886004164255,1.3288600416425551,2409248.2,3130278.05,0.7761530960484485,-0.0500663505923071,0.05640864267716439,0.059487206131954906,0.03020848235372231,0.0355118111140415,1989.5,1808.0,0.9553720353391874,2029.699951171875,1784.5,0.8030182040127886,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.0,0.0,0.0,-0.0006808602122998497,0.03154934092328321,0.05640864267716439,0.059487206131954906,0.03020848235372231,0.03551181111404156,0.02649752997842536,-0.0008721649219992633,-0.013480387250529358,0.009376826483306733,0.019482703665481882,-0.002959175414372961,0.0345494303032734,0.033623397775916386,0.030564724829497347,0.06617014896300621,0.03154934092328321,0.0534944640814754,0.08712201248806506,14.863131558080013,0,0,13.935046935072357,1,1.3631216906102601,0.5344371319924861,0.7406433460100782,-0.006186678921676899,0.3333333333333333,0,0.769659487597276,0,0,-0.004071362445809301,0.09590709314937085,-0.023796584677417854,0.11033904422194585,1,0,0,0,0.0009092992777959774,0.004091723421819101,0.012603531763779647,0.051651365542029516,1,0.04393687084816866,0.02986419756402947,2.0579436904631203,1.149859216106454,0.0015728896089652056,0.013288600416425544,0.2276434593376842,1.3235416945124905,0.0,0.0,0
2019-01-31,2014.0999755859373,2019.75,1985.0,1987.0,4094319,0.0165034575395974,1.6503457539597477,32.69995117187477,34.75,1.7253363994451474,27.09997558593728,1.3638638946118409,1970.810009765625,1934.2450073242187,1903.715014648437,1926.660009765625,1962.2340002441408,1908.2924963378907,1974.2287120767185,1946.1914407908648,1926.198572732574,1926.2220619422417,1859.9765726260696,0.0579839734876938,0.0453842221134537,0.055446153800372,78.68248934512245,16.31394379762719,0.132509594062828,16.18143420356436,0.0074544767490452,0.0101882340530589,0.0132763894155223,1.327638941552232,2835526.6,3204410.6,1.2777135988752502,0.6851996748402498,0.05918851666679714,0.06324231836024308,0.060080542828854666,0.0651823262508213,2019.75,1808.0,0.9733174762027734,2029.699951171875,1784.5,0.9363785534565512,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.016503457539597477,0.03023016654012145,0.05918851666679714,0.06324231836024308,0.060080542828854666,0.06518232625082132,0.03524424328269449,0.003936863546317282,-0.01190920816381047,0.009625103836535809,0.02493519620669593,-1.2194445350721672e-05,0.03561630307130215,0.04563465267688538,0.045621901742256554,0.08286308829270017,0.03023016654012145,0.05536124547790333,0.06621602950472094,28.68248934512245,1,0,16.18143420356436,1,2.246387268492006,0.5614837374632655,0.7673949395569224,-0.0058219126664771,0.3333333333333333,0,0.8848824180022373,0,0,-0.002797388000526202,0.11399334932850502,-0.007685853062631698,0.12866347749281992,1,0,1,0,0.013638638946118406,0.002843494924037608,0.0010065425264217413,0.7798554125427133,1,0.05798397348769413,0.04538422211345372,2.293273608032275,1.6953431361177316,0.0030050945938701334,0.013276389415522314,0.15851904634969902,1.254785889855107,0.0,0.0,0
