Threshold,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Predicted_Positive_Rate,Number_of_Positive_Predictions
0.2,0.26147186147186147,0.4984717926056857,0.24097472924187727,0.956989247311828,0.3850036049026676,0.9593073593073593,1108
0.21,0.2623376623376623,0.49659989198212795,0.24025385312783318,0.9498207885304659,0.3835021707670043,0.9549783549783549,1103
0.22,0.2675324675324675,0.5000245495163745,0.2415679124886053,0.9498207885304659,0.3851744186046512,0.9497835497835497,1097
0.23,0.27186147186147186,0.5016570923552807,0.24220183486238533,0.946236559139785,0.38568298027757486,0.9437229437229437,1090
0.24,0.2779220779220779,0.5044311877056022,0.2432932469935245,0.942652329749104,0.38676470588235295,0.935930735930736,1081
0.25,0.2831168831168831,0.5054131683605833,0.24369747899159663,0.9354838709677419,0.38666666666666666,0.9272727272727272,1071
0.26,0.29004329004329005,0.5099793784062454,0.24553151458137348,0.9354838709677419,0.3889716840536513,0.9203463203463204,1063
0.27,0.2943722943722944,0.509169244365886,0.24524714828897337,0.9247311827956989,0.3876784372652141,0.9108225108225109,1052
0.28,0.29783549783549784,0.5090096725094515,0.24521072796934865,0.9175627240143369,0.3869992441421013,0.9038961038961039,1044
0.29,0.30822510822510824,0.5121949722590465,0.246588693957115,0.9068100358422939,0.38773946360153255,0.8883116883116883,1026
0.3,0.31601731601731603,0.5148892816811509,0.24777887462981243,0.899641577060932,0.38854489164086686,0.8770562770562771,1013
0.31,0.31861471861471863,0.5141589335690087,0.24751491053677932,0.8924731182795699,0.38754863813229573,0.870995670995671,1006
0.32,0.32987012987012987,0.5203576864535768,0.25025227043390513,0.8888888888888888,0.3905511811023622,0.858008658008658,991
0.33,0.329004329004329,0.5149015564393382,0.24796747967479674,0.8745519713261649,0.38638163103721296,0.8519480519480519,984
0.34,0.3341991341991342,0.5134408602150538,0.24742268041237114,0.8602150537634409,0.3843074459567654,0.8398268398268398,970
0.35,0.34025974025974026,0.5113296018068444,0.2465897166841553,0.8422939068100358,0.3814935064935065,0.8251082251082251,953
0.36,0.34805194805194806,0.5115812343496833,0.2467948717948718,0.8279569892473119,0.3802469135802469,0.8103896103896104,936
0.37,0.35844155844155845,0.5135451956596455,0.24781659388646288,0.8136200716845878,0.3799163179916318,0.793073593073593,916
0.38,0.36623376623376624,0.5137968282024844,0.24805339265850945,0.7992831541218638,0.37860780984719866,0.7783549783549784,899
0.39,0.37316017316017314,0.5146990229292483,0.24858757062146894,0.7885304659498208,0.37800687285223367,0.7662337662337663,885
0.4,0.38181818181818183,0.5130787548485295,0.24797219003476245,0.7670250896057348,0.37478108581436076,0.7471861471861472,863
0.41,0.3913419913419913,0.5120292630235185,0.24761904761904763,0.7455197132616488,0.3717605004468275,0.7272727272727273,840
0.42,0.40865800865800866,0.5222234496980409,0.2530562347188264,0.7419354838709677,0.37739288969917956,0.7082251082251082,818
0.43,0.42424242424242425,0.5263907301026169,0.25569620253164554,0.7240143369175627,0.37792329279700654,0.683982683982684,790
0.44,0.4354978354978355,0.5228187754701232,0.25428194993412384,0.6917562724014337,0.371868978805395,0.6571428571428571,759
0.45,0.44415584415584414,0.5224198458290372,0.2543978349120433,0.6738351254480287,0.3693516699410609,0.6398268398268399,739
0.46,0.45281385281385284,0.5183569008690528,0.25245441795231416,0.6451612903225806,0.3629032258064516,0.6173160173160173,713
0.47,0.4701298701298701,0.5224443953454116,0.2555066079295154,0.6236559139784946,0.3625,0.5896103896103896,681
0.48,0.49437229437229435,0.5335407767466981,0.26356589147286824,0.6093189964157706,0.36796536796536794,0.5584415584415584,645
0.49,0.509090909090909,0.5322519271370354,0.2639344262295082,0.5770609318996416,0.36220472440944884,0.5281385281385281,610
0.5,0.5341991341991342,0.5426977463543967,0.2732049036777583,0.5591397849462365,0.36705882352941177,0.49437229437229435,571
0.51,0.5463203463203463,0.5348112142190798,0.2693032015065913,0.5125448028673835,0.3530864197530864,0.4597402597402597,531
0.52,0.5645021645021645,0.5296987774340846,0.2676348547717842,0.46236559139784944,0.33902759526938236,0.4173160173160173,482
0.53,0.5826839826839827,0.525807679088722,0.26666666666666666,0.4157706093189964,0.32492997198879553,0.37662337662337664,435
0.54,0.6034632034632035,0.5224075710708499,0.26631853785900783,0.3655913978494624,0.3081570996978852,0.3316017316017316,383
0.55,0.6147186147186147,0.5090649089212942,0.25297619047619047,0.3046594982078853,0.2764227642276423,0.2909090909090909,336
0.56,0.6320346320346321,0.5033816958805911,0.2465277777777778,0.25448028673835127,0.25044091710758376,0.24935064935064935,288
0.57,0.6484848484848484,0.5020130603427112,0.24497991967871485,0.21863799283154123,0.23106060606060605,0.21558441558441557,249
0.58,0.6588744588744588,0.48932096037708056,0.21951219512195122,0.16129032258064516,0.1859504132231405,0.1774891774891775,205
0.59,0.6727272727272727,0.4886826729513429,0.2138728323699422,0.13261648745519714,0.16371681415929204,0.1497835497835498,173
