Date,Close,High,Low,Open,Volume,News_Sentiment,News_Count,Has_News,News_Sentiment_Lag1,News_Sentiment_MA3,News_Sentiment_MA5,News_Count_MA3,News_Sentiment_Change,Daily_Return,Daily_Return_Pct,Price_Change,High_Low_Range,High_Low_Range_Pct,Open_Close_Change,Open_Close_Change_Pct,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,EMA_5,EMA_10,EMA_20,EMA_50,EMA_200,Close_vs_SMA20,Close_vs_SMA50,Close_vs_SMA200,RSI_14,MACD,MACD_Signal,MACD_Histogram,Volatility_5,Volatility_10,Volatility_20,Volatility_20_Pct,Volume_SMA_5,Volume_SMA_20,Volume_Ratio,Volume_Change,Momentum_5,Momentum_10,Momentum_20,Momentum_60,Rolling_High_20,Rolling_Low_20,Price_Position_20,Rolling_High_50,Rolling_Low_50,Price_Position_50,News_Sentiment_Lag2,News_Sentiment_Lag3,News_Sentiment_MA5_Trading,News_Sentiment_MA10,News_Count_MA5,News_Count_MA10,News_Sentiment_Abs,News_Positive,News_Negative,News_Neutral,News_Return_Interaction,News_Momentum_Interaction,News_Volume_Interaction,Target_Return_1D,Target_Return_5D,Target_Return_10D,Target_Direction_1D,Target_Direction_5D
2018-01-01,1322.800048828125,1347.4000244140625,1317.5,1341.1500244140625,1351760,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,29.9000244140625,2.2603585810683238,-18.3499755859375,-1.3682269136112832,,,,,,,1322.800048828125,1322.800048828125,1322.800048828125,1322.800048828125,1322.800048828125,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,1,,,,-0.005443054865749475,0.026005368214360836,0.03798760065401918,0,1
2018-01-02,1315.5999755859375,1334.800048828125,1310.0999755859375,1330.0,1920290,0.0,0,0,0.0,0.0,0.0,0.0,0.0,-0.005443054865749475,-0.5443054865749475,-7.2000732421875,24.7000732421875,1.8774759577801499,-14.4000244140625,-1.0827086025610901,,,,,,,1320.4000244140625,1321.4909446022725,1322.1143275669642,1322.5176930147059,1322.7284063083023,,,,,-0.5743648170407596,-0.11487296340815192,-0.4594918536326077,,,,,,,,0.4205850150914363,,,,,,,,,,,,,,,,,0.0,0,0,1,-0.0,,,0.002831389217895497,0.02956827693519637,0.08347907820025147,1,1
2018-01-03,1319.324951171875,1334.5,1315.5999755859375,1316.0,1257120,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.002831389217895497,0.2831389217895497,3.7249755859375,18.9000244140625,1.432552639687044,3.324951171875,0.2526558641242401,,,,,,,1320.0416666666667,1321.0971276149273,1321.8486726721937,1322.3924874522418,1322.6945410830642,,,,,-0.7206712244817481,-0.23603261562287117,-0.484638608858877,,,,,,,,-0.345348879596311,,,,,,,,,,,0.0,,,,,,0.0,0,0,1,0.0,,,0.0069922862051960966,0.06365004889937098,0.09485913557755388,1,1
2018-01-04,1328.550048828125,1331.0,1320.0,1325.0,913082,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069922862051960966,0.6992286205196097,9.22509765625,11.0,0.8279703131773453,3.550048828125,0.26792821344339623,,,,,,,1322.8777940538196,1322.452204199145,1322.4868989727586,1322.6339604473744,1322.7528048417216,,,,,-0.09118074805246579,-0.20706224210879012,0.11588149405632434,,,,,,,,-0.2736715667557592,,,,,,,,,,,0.0,0.0,,,,,0.0,0,0,1,0.0,,,0.012080784440126724,0.05020507223699178,0.09826496703904142,1,1
2018-01-05,1344.5999755859375,1349.75,1325.0,1325.0,1153706,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.012080784440126724,1.2080784440126724,16.0499267578125,24.75,1.840696151226291,19.5999755859375,1.4792434404481132,1326.175,,,,,,1330.1185212311923,1326.4790717240162,1324.592906269252,1323.4953728057496,1322.9701896252461,,,,,1.6833849306628963,0.17102719244554718,1.5123577382173492,,,,,1319191.6,,,0.26352945299545927,,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,0,0,1,0.0,,,0.0093707986127598,0.032407462467191284,0.10043883034377865,1,1
2018-01-08,1357.199951171875,1363.425048828125,1340.925048828125,1350.0,1242220,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0093707986127598,0.9370798612759801,12.5999755859375,22.5,1.657824993330744,7.199951171875,0.5333297164351851,1333.05498046875,,,,,,1339.1456645447533,1332.0646861690814,1327.6983391171207,1324.8171209769703,1323.310784267501,,,,,4.0596565498374275,0.9487530639239232,3.1109034859135045,0.006834331500004162,,,,1297283.6,,,0.07672145243242223,0.026005368214360836,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,0,0,1,0.0,0.0,,-0.0019893540148919753,0.011678528018339795,0.14809903273754643,0,1
2018-01-09,1354.5,1360.5,1338.2750244140625,1357.5,2149396,0.0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0019893540148919753,-0.19893540148919753,-2.699951171875,22.2249755859375,1.6408250709440753,-3.0,-0.22099447513812157,1340.8349853515624,,,,,,1344.263776363169,1336.1438341383391,1330.2508782488235,1325.9811554484615,1323.6211247225508,,,,,5.659763205852187,1.8909550923095761,3.768808113542611,0.005547313313309725,,,,1343104.8,,,0.7302861006906989,0.02956827693519637,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,0,0,1,-0.0,0.0,,0.03602809068152446,0.052362531434569926,0.1450719822812847,1,1
2018-01-10,1403.300048828125,1408.0,1347.324951171875,1355.5,3365850,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.03602809068152446,3.602809068152446,48.800048828125,60.675048828125,4.323740234940762,47.800048828125,3.526377633945039,1357.6300048828125,,,,,,1363.9425338514877,1348.3540549910274,1337.207942113519,1329.0132689143309,1324.413949838029,,,,,10.741790683823865,3.6611222106124344,7.08066847321143,0.014175815008573161,,,,1764850.8,,,0.5659515510403852,0.06365004889937098,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,0,0,1,0.0,0.0,,-0.005736512896758916,0.029341498842102354,0.13111949946389267,0,1
2018-01-11,1395.25,1410.949951171875,1391.0999755859375,1405.0,2520744,0.0,0,0,0.0,0.0,0.0,0.0,0.0,-0.005736512896758916,-0.5736512896758916,-8.050048828125,19.8499755859375,1.4226823569924745,-9.75,-0.693950177935943,1370.9699951171874,,,,,,1374.378355900992,1356.8805904472042,1342.7357571503267,1331.6107877804357,1325.1187861580488,,,,,13.958853437440439,5.720668455978036,8.238184981462403,0.01638259280780824,,,,2086383.2,,,-0.25108249030705465,0.05020507223699178,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,0,0,1,-0.0,0.0,,-0.005070740850653954,0.04576239067259458,0.11845549142738765,0,1
2018-01-12,1388.175048828125,1402.5,1370.2750244140625,1402.5,3360314,0.0,0,0,0.0,0.0,0.0,0.0,0.0,-0.005070740850653954,-0.5070740850653954,-7.074951171875,32.2249755859375,2.3213913557329318,-14.324951171875,-1.021386892825312,1379.685009765625,1352.9300048828125,,,,,1378.9772535433697,1362.5704919710079,1347.0633087386886,1333.8289940960312,1325.7462116572535,,,,,15.755885376706374,7.727711840123704,8.02817353658267,0.017577193710634674,,,,2527704.8,,,0.33306436512394755,0.032407462467191284,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.0,0.0,,-0.010895599955328628,0.06589585057241831,0.1521782142521102,0,1
