Date,Close,High,Low,Open,Volume,Daily_Return,Daily_Return_Percent,SMA_20,SMA_50,RSI_14,MACD,MACD_Signal,MACD_Histogram,Future_Close_5D,Future_Return_5D,Target,Volatility_20,Volume_SMA_20,Volume_Ratio,NIFTY_Close,NIFTY_Return,NIFTY_Momentum_20,NIFTY_Volatility_20
2018-03-14,1163.1885986328125,1177.7542017544838,1158.4140602105922,1165.626281980383,3668668,3.473785513152805e-05,0.0034737855131528,1208.6406860351562,1189.0736181640625,39.41818970319127,0.0483472151238402,8.152337564603318,-8.103990349479478,1151.040283203125,-0.0104439773945226,0,0.0175965069904179,6652067.6,0.551507925144958,10410.900390625,-0.0015296296913748,-0.0122251105932303,0.0077418562152464
2018-03-15,1156.25830078125,1169.494248351658,1150.5771937161774,1166.4521858443015,2348906,-0.005958017349644,-0.5958017349644074,1207.7925537109377,1190.9299340820312,38.07313407428988,-3.871357645280568,5.747598522626541,-9.61895616790711,1140.8062744140625,-0.0133638187563687,0,0.0171553721472656,6627136.3,0.3544375569882273,10360.150390625,-0.0048746984502608,-0.013403612525042,0.0077714102861644
2018-03-16,1138.529541015625,1157.1847323849083,1130.1891275555947,1155.895409738505,7197482,-0.0153328713434067,-1.533287134340677,1205.7749084472655,1192.547448730469,34.80158297581619,-8.312493484219658,2.9355801212573014,-11.24807360547696,1135.4874267578125,-0.0026719677867108,0,0.0174109659291607,6863748.6,1.04862261417908,10195.150390625,-0.0159264097313983,-0.0332226645844199,0.008387660503214
2018-03-19,1140.6651611328125,1147.5147929728894,1136.2330464127629,1139.8593220928035,3489940,0.0018757704918945,0.1875770491894579,1203.7190063476562,1194.1477783203125,35.52034989918677,-11.526923736328172,0.0430793497402066,-11.57000308606838,1135.024169921875,-0.0049453524164227,0,0.0174042877393828,6912457.8,0.5048768615990683,10094.25,-0.0098969006595315,-0.0342556003346676,0.008438581968976
2018-03-20,1154.3038330078125,1157.668151415266,1135.8299367604347,1136.2328562129926,4024984,0.0119567707857888,1.1956770785788828,1202.535418701172,1195.87255859375,40.064648393736086,-12.82600582146938,-2.530737684501711,-10.29526813696767,1147.3941650390625,-0.0059860045259879,0,0.0176599702031088,7035295.8,0.5721129735582688,10124.349609375,0.0029818569358792,-0.0244787993995191,0.0084016417424883
2018-03-21,1151.040283203125,1162.140735117148,1148.3205765743962,1157.3862653368255,3907678,-0.0028272883718869,-0.2827288371886949,1200.7625610351563,1197.2740014648436,39.350001066227165,-13.95798002277752,-4.816186152156873,-9.141793870620646,1147.9781494140625,-0.0026603185255524,0,0.0175601528199309,7136226.3,0.5475832513887627,10155.25,0.0030520864862653,-0.0198013959779622,0.0084537767180662
2018-03-22,1140.8062744140625,1158.7764268055632,1137.2605628022825,1152.3297141910637,2326094,-0.0088910952452361,-0.8891095245236125,1196.512762451172,1198.268173828125,37.11430872826267,-15.502177263125986,-6.953384374350696,-8.54879288877529,1172.354736328125,0.0276545305032323,1,0.0156227004070648,7098069.6,0.3277079728832188,10114.75,-0.003988084980675,-0.0271893772032637,0.0084089798796514
2018-03-23,1135.4874267578125,1141.9140707828917,1127.388804705208,1128.980316884259,3654122,-0.004662358347373,-0.4662358347373052,1191.837890625,1199.1993798828123,35.97045709735096,-16.959650956625865,-8.954637690805729,-8.005013265820136,1172.9993896484375,0.0330360002292,1,0.0155585791682154,7107625.2,0.5141129276203252,9998.0498046875,-0.0115376252811487,-0.0370472404470139,0.0087126536083302
2018-03-26,1135.024169921875,1139.214493146931,1120.7406940955957,1135.830008878156,2964210,-0.0004079805949593,-0.0407980594959389,1186.62412109375,1199.3366845703124,35.86677360909239,-17.945228886233053,-10.752755929891194,-7.19247295634186,1172.8585205078125,0.033333519750986,1,0.0153172353871473,7087710.7,0.4182182548731849,10130.650390625,0.0132626450685744,-0.0343530362329869,0.008942364284554
2018-03-27,1147.3941650390625,1153.5588548066692,1137.4622359022296,1138.247909475669,2494574,0.0108984420288062,1.08984420288063,1182.9172729492188,1199.8508203125,40.77579847906595,-17.526121056648435,-12.107428955242645,-5.418692101405792,1191.815673828125,0.0387151252312236,1,0.0154829008260834,7144245.3,0.3491725011177878,10184.150390625,0.0052810034832027,-0.0376513553812447,0.0087621294596982
2018-03-28,1147.9781494140625,1158.3936587016517,1138.2476820285792,1142.6394655956983,6865654,0.0005089657876899,0.0508965787689996,1179.0250732421875,1200.4903955078123,41.0053821091981,-16.951446698066093,-13.076232503807333,-3.87521419425876,1188.733154296875,0.0355015510561889,1,0.0154307830722711,7401638.0,0.927585758719894,10113.7001953125,-0.0069176310846069,-0.0417459819721357,0.0088334417221933
2018-04-02,1172.354736328125,1174.107475579224,1144.2914312439932,1144.2914312439932,1662988,0.0212343648931858,2.1234364893185864,1176.4987670898438,1201.860690917969,49.760180144478,-14.363453339102762,-13.33367667086642,-1.029776668236341,1178.096435546875,0.0048975783871811,0,0.0163685098343849,7349444.2,0.2262739813712715,10211.7998046875,0.0096996754383196,-0.026784888295396,0.0091642119807917
2018-04-03,1172.9993896484375,1180.5137989455511,1165.283520602136,1165.283520602136,1937290,0.0005498790599265,0.0549879059926539,1173.9513244628906,1202.4017602539063,49.971620647328905,-12.120711800527031,-13.091083696798544,0.9703718962715104,1183.6165771484375,0.0090513154513933,0,0.0163657084560016,7360402.5,0.2632043560117806,10245.0,0.003251160025411,-0.0203999309015019,0.0092067342636027
