Regime,Rows,Signal_Rows,Signal_Rate,Mean_Forward_10D_Return,Median_Forward_10D_Return,Signal_Win_Rate,Baseline_Mean_Forward_10D_Return,Signal_Excess_Forward_Return,Trades,Mean_Return,Win_Rate,Profit_Factor,Total_Return
Strong_Downtrend_HighVol,93,47,0.5053763440860215,0.0071047200567755635,0.01843227957472937,0.7446808510638298,-0.0076283604294214045,0.014733080486196967,47,0.005604720056775562,0.723404255319149,1.3349363376955135,0.22970959310473082
Strong_Downtrend_LowVol,67,42,0.6268656716417911,-0.009551556044229208,-0.01054380700791635,0.38095238095238093,-0.006127977109666405,-0.003423578934562803,42,-0.01105155604422921,0.38095238095238093,0.43420496114724993,-0.38587342939011293
Strong_Uptrend_HighVol,104,5,0.04807692307692308,-0.006247726678417331,0.015731244106282904,0.6,-0.0069327032197961744,0.0006849765413788431,5,-0.007747726678417333,0.6,0.6023928243859463,-0.0421646804778778
Strong_Uptrend_LowVol,35,10,0.2857142857142857,0.0022007986064047857,0.012706428035807349,0.7,0.001443524742138415,0.0007572738642663706,10,0.0007007986064047844,0.7,1.0673117504364131,0.0031817119050288056
Weak_Downtrend,250,76,0.304,-0.008178477985379752,0.008816234534631207,0.5921052631578947,-0.007084083034908932,-0.0010943949504708195,76,-0.009678477985379753,0.5526315789473685,0.6104744096251998,-0.5755855107513399
Weak_Uptrend,221,92,0.416289592760181,0.001062250557456482,0.00934136935626595,0.6195652173913043,0.005745890217832654,-0.004683639660376172,92,-0.0004377494425435193,0.6086956521739131,0.9656020972352174,-0.08609138634784541
