Date,Close,High,Low,Open,Volume,Daily_Return,Daily_Return_Percent,SMA_20,SMA_50,RSI_14,MACD,MACD_Signal,MACD_Histogram,Future_Close_5D,Future_Return_5D,Target,Volatility_20,Volume_SMA_20,Volume_Ratio,Price_vs_SMA20,Price_vs_SMA50,High_Low_Range,Open_Close_Change,Return_Lag_1,Return_Lag_2,Return_Lag_5,RSI_Lag_1,Volatility_Lag_1,Volume_Ratio_Lag_1
2018-03-21,1151.040283203125,1162.140735117148,1148.3205765743962,1157.3862653368255,3907678,-0.0028272883718869,-0.2827288371886949,1200.7625610351563,1197.2740014648436,39.350001066227165,-13.95798002277752,-4.816186152156873,-9.141793870620646,1147.9781494140625,-0.0026603185255524853,0,0.0175601528199309,7136226.3,0.5475832513887627,-0.0414089175041955,-0.0386158207771591,0.0120066680066947,-0.0054830287206265,0.0119567707857888,0.0018757704918945,3.473785513152805e-05,40.064648393736086,0.0176599702031088,0.5721129735582688
2018-03-22,1140.8062744140625,1158.7764268055632,1137.2605628022825,1152.3297141910637,2326094,-0.0088910952452361,-0.8891095245236125,1196.512762451172,1198.268173828125,37.11430872826267,-15.502177263125986,-6.953384374350696,-8.54879288877529,1172.354736328125,0.0276545305032323,1,0.0156227004070648,7098069.6,0.3277079728832188,-0.0465573705398589,-0.047954123016126,0.0188602258646689,-0.0100001237797557,-0.0028272883718869,0.0119567707857888,-0.005958017349644,39.350001066227165,0.0175601528199309,0.5475832513887627
2018-03-23,1135.4874267578125,1141.9140707828917,1127.388804705208,1128.980316884259,3654122,-0.004662358347373,-0.4662358347373052,1191.837890625,1199.1993798828123,35.97045709735096,-16.959650956625865,-8.954637690805729,-8.005013265820136,1172.9993896484375,0.03303600022920006,1,0.0155585791682154,7107625.2,0.5141129276203252,-0.0472803091011289,-0.053128740886462,0.0127920976801637,0.0057637053332441,-0.0088910952452361,-0.0028272883718869,-0.0153328713434067,37.11430872826267,0.0156227004070648,0.3277079728832188
2018-03-26,1135.024169921875,1139.214493146931,1120.7406940955957,1135.830008878156,2964210,-0.0004079805949593,-0.0407980594959389,1186.62412109375,1199.3366845703124,35.86677360909239,-17.945228886233053,-10.752755929891194,-7.19247295634186,1172.8585205078125,0.033333519750986085,1,0.0153172353871473,7087710.7,0.4182182548731849,-0.0434846639762502,-0.0536234032326616,0.0162761283335551,-0.0007094714437742,-0.004662358347373,-0.0088910952452361,0.0018757704918945,35.97045709735096,0.0155585791682154,0.5141129276203252
2018-03-27,1147.3941650390625,1153.5588548066692,1137.4622359022296,1138.247909475669,2494574,0.0108984420288062,1.08984420288063,1182.9172729492188,1199.8508203125,40.77579847906595,-17.526121056648435,-12.107428955242645,-5.418692101405792,1191.815673828125,0.03871512523122367,1,0.0154829008260834,7144245.3,0.3491725011177878,-0.0300300863995256,-0.0437193144225839,0.0140288484941803,0.0080353809457964,-0.0004079805949593,-0.004662358347373,0.0119567707857888,35.86677360909239,0.0153172353871473,0.4182182548731849
2018-03-28,1147.9781494140625,1158.3936587016517,1138.2476820285792,1142.6394655956983,6865654,0.0005089657876899,0.0508965787689996,1179.0250732421875,1200.4903955078123,41.0053821091981,-16.951446698066093,-13.076232503807333,-3.87521419425876,1188.733154296875,0.03550155105618891,1,0.0154307830722711,7401638.0,0.927585758719894,-0.026332708720731,-0.0437423292100033,0.0175490941908216,0.0046722382510925,0.0108984420288062,-0.0004079805949593,-0.0028272883718869,40.77579847906595,0.0154829008260834,0.3491725011177878
2018-04-02,1172.354736328125,1174.107475579224,1144.2914312439932,1144.2914312439932,1662988,0.0212343648931858,2.1234364893185864,1176.4987670898438,1201.860690917969,49.760180144478,-14.363453339102762,-13.33367667086642,-1.029776668236341,1178.096435546875,0.0048975783871811895,0,0.0163685098343849,7349444.2,0.2262739813712715,-0.0035223417802378,-0.0245502285021964,0.0254326130234404,0.0245246135013205,0.0005089657876899,0.0108984420288062,-0.0088910952452361,41.0053821091981,0.0154307830722711,0.927585758719894
2018-04-03,1172.9993896484375,1180.5137989455511,1165.283520602136,1165.283520602136,1937290,0.0005498790599265,0.0549879059926539,1173.9513244628906,1202.4017602539063,49.971620647328905,-12.120711800527031,-13.091083696798544,0.9703718962715104,1183.6165771484375,0.009051315451393371,0,0.0163657084560016,7360402.5,0.2632043560117806,-0.0008108809919258,-0.0244530335677986,0.0129840462644911,0.0066214521272166,0.0212343648931858,0.0005089657876899,-0.004662358347373,49.760180144478,0.0163685098343849,0.2262739813712715
2018-04-04,1172.8585205078125,1182.166001791824,1165.2433800892825,1180.3326981002415,2841820,-0.0001200931064996,-0.012009310649963,1170.0238647460938,1202.6337109375,49.922177290036245,-10.23668777097464,-12.520204511633764,2.283516740659124,1214.4599609375,0.03547012679046335,1,0.0153385960398757,7359585.1,0.3861386153412371,0.0024227332853026,-0.0247583201426113,0.0144285277436656,-0.006332263441027,0.0005498790599265,0.0212343648931858,-0.0004079805949593,49.971620647328905,0.0163657084560016,0.2632043560117806
2018-04-05,1191.815673828125,1194.1526265205089,1176.665960177355,1179.1640413165176,1809424,0.0161632055263618,1.6163205526361857,1168.3144775390624,1203.0096533203125,56.20242183736555,-7.131691610919006,-11.442501931490812,4.310810320571807,1264.8651123046875,0.06129256401027772,1,0.0153563007383039,7354718.1,0.2460222098791251,0.0201154712544224,-0.0093049789428473,0.014672290965084,0.0107293235447394,-0.0001200931064996,0.0005498790599265,0.0108984420288062,49.922177290036245,0.0153385960398757,0.3861386153412371
