Model,Features,Train_AUC,Validation_AUC,Test_AUC,Test_Accuracy,Test_Balanced_Accuracy,Test_Precision,Test_Recall,Test_F1
Logistic,20,0.6890916794525297,0.5700401748788846,0.47034438775510207,0.4262734584450402,0.5259566326530613,0.3576158940397351,0.84375,0.5023255813953489
XGBoost,20,0.9657445866046953,0.41752333687817555,0.5801179846938775,0.47989276139410186,0.5499840561224489,0.375,0.7734375,0.5051020408163265
