Model,Split,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC
Logistic,TRAIN,0.6374216651745748,0.639818075117371,0.43141153081510936,0.6458333333333334,0.5172824791418356,0.6898626608133651
Logistic,VALIDATION,0.6595174262734584,0.5463839454751989,0.32608695652173914,0.3157894736842105,0.32085561497326204,0.525444907232109
Logistic,TEST,0.3485254691689008,0.4612267165458655,0.2246376811594203,0.6813186813186813,0.33787465940054495,0.48328267477203646
XGBoost,TRAIN,0.8379588182632051,0.7331984330223766,0.9813664596273292,0.47023809523809523,0.635814889336016,0.967284769221389
XGBoost,VALIDATION,0.710455764075067,0.48701249526694435,0.15789473684210525,0.031578947368421054,0.05263157894736842,0.5543354789852328
XGBoost,TEST,0.5898123324396782,0.5091575091575091,0.25396825396825395,0.3516483516483517,0.29493087557603687,0.49131010833138494
