Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Position_Size,Entry_Regime,Exit_Regime,Gross_Return,Net_Return,PnL
Baseline_XGB_0.70,2023-03-21,2023-04-10,3107.653147705078,3263.39990234375,1.0,Strong_Downtrend_LowVol,Strong_Downtrend_LowVol,0.050117161483638206,0.048617161483638205,4861.71614836382
Baseline_XGB_0.70,2023-04-13,2023-07-07,3190.444522705078,3329.25,1.0,Strong_Downtrend_LowVol,Strong_Uptrend_LowVol,0.0435066262105801,0.0420066262105801,4404.88691404427
Baseline_XGB_0.70,2023-09-25,2023-10-19,3578.9384772949215,3455.64990234375,1.0,Strong_Uptrend_LowVol,Strong_Downtrend_LowVol,-0.03444836387474226,-0.03594836387474226,-3927.955606244473
Baseline_XGB_0.70,2023-11-29,2023-12-06,3515.5068749999996,3604.10009765625,1.0,Weak_Uptrend,Strong_Uptrend_LowVol,0.025200696743410633,0.023700696743410632,2496.5993387195776
Baseline_XGB_0.70,2023-12-15,2023-12-19,3862.9305,3816.199951171875,1.0,Strong_Uptrend_HighVol,Strong_Uptrend_HighVol,-0.012097175661877624,-0.013597175661877623,-1466.2547932119528
Baseline_XGB_0.70,2024-03-27,2024-04-01,3842.8203522949216,3916.75,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_HighVol,0.019238382471074456,0.017738382471074454,1886.813863188304
Baseline_XGB_0.70,2024-04-18,2024-05-06,3863.9309999999996,3921.050048828125,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,0.014782626508632157,0.013282626508632158,1437.92143669392
Baseline_XGB_0.70,2024-05-28,2024-06-04,3841.8198522949215,3715.0,1.0,Strong_Downtrend_LowVol,Strong_Downtrend_LowVol,-0.033010358936837014,-0.034510358936837016,-3785.5699022961285
Baseline_XGB_0.70,2024-10-11,2024-11-25,4151.274795410156,4315.10009765625,1.0,Strong_Downtrend_LowVol,Strong_Uptrend_HighVol,0.039463853953302985,0.037963853953302984,4020.6818199688305
Baseline_XGB_0.70,2025-02-01,2025-04-23,4075.1864772949216,3413.0,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_HighVol,-0.16249231317004076,-0.16399231317004076,-18027.484627658396
Baseline_XGB_0.70,2025-07-14,2026-02-05,3224.3113011474607,2991.5,1.0,Strong_Downtrend_LowVol,Strong_Downtrend_HighVol,-0.07220497011706295,-0.07370497011706295,-6773.586593889108
Baseline_XGB_0.70,2026-02-23,2026-04-30,2677.638198852539,2473.89990234375,1.0,Strong_Downtrend_HighVol,Weak_Downtrend,-0.07608880714209187,-0.07758880714209188,-6604.961973608631
Baseline_XGB_0.70,2026-05-07,2026-05-08,2402.600602294922,2394.39990234375,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_HighVol,-0.00341325975833795,-0.004913259758337949,-385.80294294984
Exclude_Strong_Downtrend_LowVol,2023-05-04,2023-06-16,3222.310301147461,3174.89990234375,1.0,Weak_Downtrend,Strong_Downtrend_LowVol,-0.014713169860403608,-0.01621316986040361,-1621.316986040361
Exclude_Strong_Downtrend_LowVol,2023-06-30,2023-07-07,3303.901125,3329.25,1.0,Strong_Uptrend_LowVol,Strong_Uptrend_LowVol,0.007672407266727799,0.006172407266727799,607.2332979264752
Exclude_Strong_Downtrend_LowVol,2023-09-25,2023-10-19,3578.9384772949215,3455.64990234375,1.0,Strong_Uptrend_LowVol,Strong_Downtrend_LowVol,-0.03444836387474226,-0.03594836387474226,-3558.381738054468
Exclude_Strong_Downtrend_LowVol,2023-11-29,2023-12-06,3515.5068749999996,3604.10009765625,1.0,Weak_Uptrend,Strong_Uptrend_LowVol,0.025200696743410633,0.023700696743410632,2261.6990579057174
Exclude_Strong_Downtrend_LowVol,2023-12-15,2023-12-19,3862.9305,3816.199951171875,1.0,Strong_Uptrend_HighVol,Strong_Uptrend_HighVol,-0.012097175661877624,-0.013597175661877623,-1328.2976699649364
Exclude_Strong_Downtrend_LowVol,2024-03-27,2024-04-01,3842.8203522949216,3916.75,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_HighVol,0.019238382471074456,0.017738382471074454,1709.2871373606322
Exclude_Strong_Downtrend_LowVol,2024-04-18,2024-04-19,3863.9309999999996,3826.199951171875,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,-0.009764938563376124,-0.011264938563376124,-1104.755038108324
Exclude_Strong_Downtrend_LowVol,2024-11-07,2024-11-25,4152.975352294921,4315.10009765625,1.0,Strong_Downtrend_HighVol,Strong_Uptrend_HighVol,0.03903821516102646,0.037538215161026456,3639.910603264386
Exclude_Strong_Downtrend_LowVol,2025-02-01,2025-02-06,4075.1864772949216,4082.75,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,0.001855994258721294,0.00035599425872129406,35.81493720096871
Exclude_Strong_Downtrend_LowVol,2025-03-20,2025-03-27,3564.9314772949215,3651.199951171875,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,0.024199195531919182,0.02269919553191918,2284.474132125957
Exclude_Strong_Downtrend_LowVol,2025-04-03,2025-04-23,3404.8514772949216,3413.0,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_HighVol,0.0023932094422962624,0.0008932094422962624,91.9341782743136
Exclude_Strong_Downtrend_LowVol,2025-09-10,2025-09-23,3111.555,3062.39990234375,1.0,Weak_Downtrend,Strong_Downtrend_LowVol,-0.01579759883924592,-0.01729759883924592,-1781.957151253013
Exclude_Strong_Downtrend_LowVol,2025-10-06,2025-11-04,2989.8941022949216,2990.199951171875,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,0.00010229421728302768,-0.0013977057827169724,-141.497646099024
Exclude_Strong_Downtrend_LowVol,2025-11-10,2026-01-20,3026.7125511474605,3102.300048828125,1.0,Weak_Downtrend,Strong_Downtrend_LowVol,0.02497346424654978,0.02347346424654978,2373.029847828559
Exclude_Strong_Downtrend_LowVol,2026-01-23,2026-01-27,3164.0812499999997,3158.0,1.0,Weak_Downtrend,Strong_Downtrend_LowVol,-0.0019219639192260551,-0.003421963919226055,-354.0609463893968
Exclude_Strong_Downtrend_LowVol,2026-01-28,2026-01-29,3201.700147705078,3144.39990234375,1.0,Weak_Downtrend,Strong_Downtrend_LowVol,-0.01789681816468658,-0.01939681816468658,-2000.0663617561468
Exclude_Strong_Downtrend_LowVol,2026-02-02,2026-02-05,3171.184897705078,2991.5,1.0,Weak_Downtrend,Strong_Downtrend_HighVol,-0.05666175372969029,-0.05816175372969029,-5880.912292846768
Exclude_Strong_Downtrend_LowVol,2026-02-23,2026-03-13,2677.638198852539,2410.5,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,-0.09976635341063522,-0.10126635341063522,-9643.811278087116
Exclude_Strong_Downtrend_LowVol,2026-03-23,2026-03-27,2384.991948852539,2389.800048828125,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,0.0020159816379672346,0.0005159816379672346,44.16200468332845
Exclude_Strong_Downtrend_LowVol,2026-04-01,2026-04-30,2409.404051147461,2473.89990234375,1.0,Strong_Downtrend_HighVol,Weak_Downtrend,0.026768383312700594,0.025268383312700593,2163.794533027113
Exclude_Strong_Downtrend_LowVol,2026-05-07,2026-05-08,2402.600602294922,2394.39990234375,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_HighVol,-0.00341325975833795,-0.004913259758337949,-431.3659423334144
Only_Strong_Downtrend_HighVol,2024-03-27,2024-04-01,3842.8203522949216,3916.75,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_HighVol,0.019238382471074456,0.017738382471074454,1773.8382471074453
Only_Strong_Downtrend_HighVol,2024-04-18,2024-04-19,3863.9309999999996,3826.199951171875,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,-0.009764938563376124,-0.011264938563376124,-1146.4760352126445
Only_Strong_Downtrend_HighVol,2024-11-07,2024-11-11,4152.975352294921,4198.7001953125,1.0,Strong_Downtrend_HighVol,Weak_Downtrend,0.011010140715694616,0.009510140715694617,956.9803744842906
Only_Strong_Downtrend_HighVol,2024-11-18,2024-11-22,4021.5097499999997,4244.60009765625,1.0,Strong_Downtrend_HighVol,Weak_Uptrend,0.055474277454194976,0.053974277454194974,5482.941491759219
Only_Strong_Downtrend_HighVol,2025-02-01,2025-02-06,4075.1864772949216,4082.75,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,0.001855994258721294,0.00035599425872129406,38.11533842869906
Only_Strong_Downtrend_HighVol,2025-03-20,2025-03-27,3564.9314772949215,3651.199951171875,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,0.024199195531919182,0.02269919553191918,2431.206403880957
Only_Strong_Downtrend_HighVol,2025-04-03,2025-04-23,3404.8514772949216,3413.0,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_HighVol,0.0023932094422962624,0.0008932094422962624,97.83913059590786
Only_Strong_Downtrend_HighVol,2025-10-06,2025-10-08,2989.8941022949216,3027.199951171875,1.0,Strong_Downtrend_HighVol,Weak_Downtrend,0.012477314446795562,0.010977314446795563,1203.491776427507
Only_Strong_Downtrend_HighVol,2025-10-13,2025-10-20,3008.703551147461,3015.199951171875,1.0,Strong_Downtrend_HighVol,Weak_Downtrend,0.0021592024318701775,0.0006592024318701774,73.06463743422199
Only_Strong_Downtrend_HighVol,2026-02-23,2026-03-13,2677.638198852539,2410.5,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,-0.09976635341063522,-0.10126635341063522,-11231.552661345977
Only_Strong_Downtrend_HighVol,2026-03-23,2026-03-27,2384.991948852539,2389.800048828125,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_LowVol,0.0020159816379672346,0.0005159816379672346,51.43276521373363
Only_Strong_Downtrend_HighVol,2026-04-01,2026-04-16,2409.404051147461,2576.89990234375,1.0,Strong_Downtrend_HighVol,Weak_Downtrend,0.06951754360856177,0.06801754360856177,6783.449579422597
Only_Strong_Downtrend_HighVol,2026-04-24,2026-04-30,2398.098352294922,2473.89990234375,1.0,Strong_Downtrend_HighVol,Weak_Downtrend,0.03160902469921134,0.03010902469921134,3207.042624350105
Only_Strong_Downtrend_HighVol,2026-05-07,2026-05-08,2402.600602294922,2394.39990234375,1.0,Strong_Downtrend_HighVol,Strong_Downtrend_HighVol,-0.00341325975833795,-0.004913259758337949,-539.0896098948814
Exclude_Strong_Downtrend_Bad_Regimes,2023-05-08,2023-05-17,3252.2253977050777,3208.699951171875,1.0,Weak_Uptrend,Weak_Downtrend,-0.013383281049313633,-0.014883281049313633,-1488.3281049313632
Exclude_Strong_Downtrend_Bad_Regimes,2023-05-19,2023-06-09,3224.461522705078,3209.300048828125,1.0,Weak_Uptrend,Weak_Downtrend,-0.004702017304344719,-0.0062020173043447185,-610.971093773145
Exclude_Strong_Downtrend_Bad_Regimes,2023-06-13,2023-06-15,3245.321801147461,3216.300048828125,1.0,Weak_Uptrend,Weak_Downtrend,-0.008942642393452216,-0.010442642393452215,-1022.3420085362895
Exclude_Strong_Downtrend_Bad_Regimes,2023-06-30,2023-07-07,3303.901125,3329.25,1.0,Strong_Uptrend_LowVol,Strong_Uptrend_LowVol,0.007672407266727799,0.006172407266727799,597.9726858010898
