Strategy,Total_Return,CAGR,Sharpe,Sortino,Max_Drawdown,Win_Rate,Profit_Factor,Trades,Exposure,Buy_Hold_Return,Excess_Return
Baseline_XGB_0.70,-0.21862996918879818,-0.07292637614233488,-0.45498432885044565,-0.3071756423462028,-0.3408638508041325,0.46153846153846156,0.4534495172983202,13,0.47,-0.3124085033541204,0.09377853416532222
Exclude_Strong_Downtrend_LowVol,-0.12635083321335516,-0.04061168787496949,-0.3228343170749944,-0.17001957686475905,-0.23283837819153497,0.47619047619047616,0.5598007388892989,21,0.26625,-0.3124085033541204,0.18605767014076524
Only_Strong_Downtrend_HighVol,0.09182284062651158,0.027330431616858553,0.485796974407255,0.1775683420286028,-0.10413645531104243,0.7857142857142857,1.834484984789316,14,0.0825,-0.3124085033541204,0.404231343980632
Exclude_Strong_Downtrend_Bad_Regimes,-0.04772478244627021,-0.014897299165487432,-0.10402199515092748,-0.054400233750424326,-0.2120122500241527,0.5185185185185185,0.9017760786452265,27,0.22375,-0.3124085033541204,0.2646837209078502
Best_Regime_Confidence_Sizing,0.02387411404256734,0.007267928140602953,0.3756823889768624,0.13590498412701016,-0.02969258321761814,0.7857142857142857,1.834484984789316,14,0.0825,-0.3124085033541204,0.33628261739668774
