Strategy,Date,Equity,Position,Probability,Market_Return,Trading_Cost,Running_Max,Drawdown
Fixed_100pct,2023-02-03,100000.0,0.0,0.4088793396949768,-0.0064181998514950545,0.0,100000.0,0.0
Fixed_100pct,2023-02-06,100000.0,0.0,0.3988363146781921,0.003641699398565734,0.0,100000.0,0.0
Fixed_100pct,2023-02-07,100000.0,0.0,0.4039197564125061,0.013693121239295447,0.0,100000.0,0.0
Fixed_100pct,2023-02-08,100000.0,0.0,0.2952230274677276,0.005894718736497273,0.0,100000.0,0.0
Fixed_100pct,2023-02-09,100000.0,0.0,0.2863130271434784,-0.0009319933736560149,0.0,100000.0,0.0
Fixed_100pct,2023-02-10,100000.0,0.0,0.2909234464168548,-0.01558992684856697,0.0,100000.0,0.0
Fixed_100pct,2023-02-13,100000.0,0.0,0.2294507175683975,0.005082757813250405,0.0,100000.0,0.0
Fixed_100pct,2023-02-14,100000.0,0.0,0.3302276730537414,0.005871204855329992,0.0,100000.0,0.0
Fixed_100pct,2023-02-15,100000.0,0.0,0.3378582596778869,0.010623080261254358,0.0,100000.0,0.0
Fixed_100pct,2023-02-16,100000.0,0.0,0.3549425303936004,-0.015991946629057563,0.0,100000.0,0.0
Fixed_100pct,2023-02-17,100000.0,0.0,0.2489628791809082,-0.003955801351536947,0.0,100000.0,0.0
Fixed_100pct,2023-02-20,100000.0,0.0,0.2929953932762146,-0.010409212949807234,0.0,100000.0,0.0
Fixed_100pct,2023-02-21,100000.0,0.0,0.1825983077287674,-0.014329165798862675,0.0,100000.0,0.0
Fixed_100pct,2023-02-22,100000.0,0.0,0.4928011000156402,0.0036012993559275674,0.0,100000.0,0.0
Fixed_100pct,2023-02-23,100000.0,0.0,0.4355315566062927,-0.003910626710791898,0.0,100000.0,0.0
Fixed_100pct,2023-02-24,100000.0,0.0,0.4860202372074127,-0.020173757738144005,0.0,100000.0,0.0
Fixed_100pct,2023-02-27,100000.0,0.0,0.3203698992729187,-0.00570253746210414,0.0,100000.0,0.0
Fixed_100pct,2023-02-28,100000.0,0.0,0.4484154284000397,0.021990084479573735,0.0,100000.0,0.0
Fixed_100pct,2023-03-01,100000.0,0.0,0.5300629138946533,-0.018976873593822607,0.0,100000.0,0.0
Fixed_100pct,2023-03-02,100000.0,0.0,0.440104991197586,0.006232203247431567,0.0,100000.0,0.0
Fixed_100pct,2023-03-03,100000.0,0.0,0.3472266495227813,0.008886553918982631,0.0,100000.0,0.0
