Feature_Set,Model,Features,Train_AUC,Validation_AUC,Test_AUC,Validation_Balanced_Accuracy,Test_Balanced_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1
Technical,XGBoost,48,0.7727482495799712,0.568157576619498,0.5285756370599499,0.5,0.5073280306377964,0.7584415584415585,0.5,0.021505376344086023,0.041237113402061855
Technical_News,XGBoost,69,0.7746735313417124,0.5541136315153239,0.5263661805862424,0.5,0.5090403594049198,0.7610389610389611,0.6666666666666666,0.021505376344086023,0.041666666666666664
Core_Momentum,XGBoost,34,0.7832002942003592,0.5159638768399346,0.48733244955074384,0.5,0.5053763440860215,0.7610389610389611,1.0,0.010752688172043012,0.02127659574468085
Technical,Logistic,48,0.6155998298252825,0.5649576903932305,0.485012520253351,0.5363364858138377,0.5138091029606717,0.37922077922077924,0.2482758620689655,0.7741935483870968,0.37597911227154046
Technical_News,Logistic,69,0.6155998298252825,0.5649576903932305,0.485012520253351,0.5363364858138377,0.5138091029606717,0.37922077922077924,0.2482758620689655,0.7741935483870968,0.37597911227154046
Core,Logistic,12,0.5331408051571592,0.5169949512906207,0.4727868610988364,0.5375808860129417,0.4794704669318014,0.4883116883116883,0.22631578947368422,0.46236559139784944,0.303886925795053
Core,XGBoost,12,0.7132123362248614,0.5301500391097205,0.4716453085874209,0.5,0.4982876712328767,0.7558441558441559,0.0,0.0,0.0
Core_Momentum,Logistic,34,0.5815648863218466,0.5315011021830335,0.43658859920459564,0.535465405674465,0.4401237295625276,0.4675324675324675,0.1956521739130435,0.3870967741935484,0.259927797833935
