Date,Close,High,Low,Open,Volume,Daily_Return,Daily_Return_Percent
2018-01-01,1063.4425048828125,1083.2192350699193,1059.1816211560729,1078.194654324397,1351760,,
2018-01-02,1057.65380859375,1073.0893748500007,1053.2321788771071,1069.23045875186,1920290,-0.005443356140537592,-0.5443356140537592
2018-01-03,1060.648681640625,1072.84840204998,1057.6540513633315,1057.9756441347124,1257120,0.0028316194037603104,0.28316194037603104
2018-01-04,1068.0648193359375,1070.03441518073,1061.1911555511372,1065.210819019134,913082,0.006992077417982578,0.6992077417982578
2018-01-05,1080.9681396484375,1085.1084136415166,1065.2110746990254,1065.2110746990254,1153706,0.01208102736734884,1.208102736734884
2018-01-08,1091.09765625,1096.102216894728,1078.0137272477698,1085.309378817508,1242220,0.009370781829755703,0.9370781829755703
2018-01-09,1088.9271240234375,1093.7507214720465,1075.8833322167595,1091.338922747742,2149396,-0.001989310685555301,-0.1989310685555301
2018-01-10,1128.158935546875,1131.9373804458207,1083.158718635501,1089.730908518686,3365850,0.03602794958259592,3.602794958259592
2018-01-11,1121.6873779296875,1134.3090851962022,1118.351036769785,1129.52572369913,2520744,-0.005736388210275001,-0.5736388210275001
2018-01-12,1115.9993896484375,1127.5156870909336,1101.6089737296024,1127.5156870909336,3360314,-0.005070921179258003,-0.5070921179258003
2018-01-15,1103.8399658203125,1128.721646624928,1099.398217491051,1116.3209439806606,1457214,-0.010895547023511809,-1.089554702351181
2018-01-16,1145.9459228515625,1150.2870813570232,1105.6286742838822,1107.8193714833894,4267752,0.038144983272062616,3.8144983272062616
2018-01-17,1161.260986328125,1175.7518968550949,1150.4882655604404,1153.6437415296143,4280806,0.013364560378601897,1.3364560378601897
2018-01-18,1173.0185546875,1178.9676781801174,1152.8599751010115,1164.4968849941356,2209478,0.010124828525026164,1.0124828525026164
2018-01-19,1189.5391845703125,1198.6638022032798,1167.1696955769755,1177.982650595348,1820000,0.014083860665966785,1.4083860665966785
2018-01-22,1255.658203125,1263.031649136002,1177.3306971200586,1193.0445565272053,4367110,0.055583724699721504,5.55837246997215
2018-01-23,1249.856201171875,1266.1140412020343,1245.0413331590223,1255.0739886564145,3239610,-0.0046206857397063095,-0.46206857397063095
2018-01-24,1279.108154296875,1313.1346829464733,1242.0596313348044,1245.0211287070022,5621538,0.0234042549035427,2.34042549035427
2018-01-25,1257.531982421875,1281.2035041249717,1241.3950360381298,1279.269470763084,3833844,-0.01686813722711389,-1.6868137227113889
2018-01-29,1288.878662109375,1299.414964254886,1257.9142692724818,1261.7016719912426,3141060,0.024927143107032146,2.4927143107032146
2018-01-30,1270.344970703125,1290.873702556528,1266.658197717545,1281.2841973803154,1574758,-0.014379702256780202,-1.4379702256780202
2018-01-31,1254.0264892578125,1269.1963684088073,1248.4863463798376,1263.9584151423585,3043214,-0.012845708702479697,-1.2845708702479697
2018-02-01,1264.6029052734375,1285.3129236931834,1244.537498891199,1258.7202425133244,2400630,0.008433965395646892,0.8433965395646892
2018-02-02,1270.6671142578125,1285.3132782652788,1250.4405738786652,1257.1089116575768,2456490,0.004795346396158751,0.47953463961587506
2018-02-05,1250.3399658203125,1284.5075643707307,1239.723094377125,1253.0798385172436,2757742,-0.015997225559247208,-1.5997225559247208
2018-02-06,1207.6505126953125,1239.843742499211,1202.714748651433,1212.7877364960848,2657306,-0.03414227673430614,-3.4142276734306143
2018-02-07,1190.647216796875,1221.248931314202,1187.5849894327778,1219.6372534107852,2180324,-0.014079649467864996,-1.4079649467864996
2018-02-08,1198.3629150390625,1219.878871012135,1192.2385595505882,1200.5991374859293,2755004,0.006480255556255088,0.6480255556255088
2018-02-09,1197.3558349609375,1206.3409593082797,1167.1167074060097,1188.6125016564542,2102458,-0.0008403798761514869,-0.08403798761514869
2018-02-12,1195.5830078125,1218.1666646261858,1190.8487038625692,1200.0151221486055,1974562,-0.001480618456664029,-0.1480618456664029
2018-02-14,1173.220947265625,1198.4638130329413,1165.4445817224214,1196.6708410425554,2847532,-0.018703896258771557,-1.8703896258771557
2018-02-15,1178.8824462890625,1185.7924786399385,1170.521863913331,1181.3401970262807,2465236,0.0048256034267308845,0.48256034267308845
2018-02-16,1181.783203125,1208.5975187905815,1177.7338419828643,1177.7338419828643,2515756,0.002460598887589427,0.2460598887589427
2018-02-19,1177.9755859375,1189.9422763928917,1166.5326121797475,1186.5980245954386,1568224,-0.003221925288353633,-0.3221925288353633
2018-02-20,1186.4974365234375,1202.7351153166592,1179.7082022338338,1179.748533539562,1889068,0.00723431851022216,0.723431851022216
2018-02-21,1225.80224609375,1233.9815331627271,1192.6621109581486,1198.2828193711696,3089228,0.03312675473238258,3.312675473238258
2018-02-22,1228.98486328125,1240.588962893778,1217.8240144028723,1229.7101379512214,3463010,0.002596354507949483,0.2596354507949483
2018-02-23,1239.299560546875,1244.618077169169,1205.575225070445,1228.9042199307107,3362500,0.008392859484116055,0.8392859484116055
2018-02-26,1221.5311279296875,1245.0011907155513,1217.30047283524,1238.977563373929,1363882,-0.014337479962751476,-1.4337479962751476
2018-02-27,1225.8221435546875,1240.4078093451787,1221.6518875066545,1225.2781628983298,1717800,0.003512817256055234,0.3512817256055234
2018-02-28,1222.880859375,1234.525193684289,1217.401114777088,1222.8606937260113,2706864,-0.0023994379569276525,-0.23994379569276525
2018-03-01,1223.9482421875,1233.4168480912233,1216.8165884784944,1228.5012510830893,1718124,0.0008728428483584239,0.08728428483584239
2018-03-05,1251.40771484375,1254.5504086162466,1222.0348208355592,1228.501699241021,2858168,0.022435158374976005,2.2435158374976005
2018-03-06,1226.00341796875,1259.9292186368805,1220.9064275064218,1257.9146212294022,1906764,-0.020300575562754886,-2.0300575562754886
2018-03-07,1219.8184814453125,1244.6181935149857,1216.2123720054983,1236.9627238883152,1917772,-0.005044795497947896,-0.5044795497947896
2018-03-08,1210.3502197265625,1230.8789520950495,1203.7222124897569,1230.8789520950495,1951826,-0.007762025139618656,-0.7762025139618656
2018-03-09,1222.4979248046875,1234.222821607681,1199.5717494118703,1210.772929632689,1872436,0.010036520736014243,1.0036520736014243
2018-03-12,1229.7705078125,1242.5631998074325,1223.0619386021283,1226.083834348963,2091340,0.0059489532540306644,0.5948953254030664
2018-03-13,1163.148193359375,1184.462598513621,1157.1849642597176,1178.499369413964,88067154,-0.054174591137034156,-5.417459113703416
2018-03-14,1163.1885986328125,1177.7542017544838,1158.4140602105922,1165.626281980383,3668668,3.473785513152805e-05,0.003473785513152805
2018-03-15,1156.25830078125,1169.494248351658,1150.5771937161774,1166.4521858443015,2348906,-0.005958017349644074,-0.5958017349644074
2018-03-16,1138.529541015625,1157.1847323849083,1130.1891275555947,1155.895409738505,7197482,-0.015332871343406773,-1.5332871343406773
2018-03-19,1140.6651611328125,1147.5147929728894,1136.2330464127629,1139.8593220928035,3489940,0.0018757704918945795,0.18757704918945795
2018-03-20,1154.3038330078125,1157.668151415266,1135.8299367604347,1136.2328562129926,4024984,0.011956770785788828,1.1956770785788828
