Date,Equity,Position,Probability,Running_Max,Drawdown,Model,Threshold
2023-02-03,100000.0,0,0.3323726681137554,100000.0,0.0,Logistic,0.5
2023-02-06,100000.0,0,0.3353508505963547,100000.0,0.0,Logistic,0.5
2023-02-07,100000.0,0,0.3358274230951104,100000.0,0.0,Logistic,0.5
2023-02-08,100000.0,0,0.3169456029434881,100000.0,0.0,Logistic,0.5
2023-02-09,100000.0,0,0.3070415629318276,100000.0,0.0,Logistic,0.5
2023-02-10,100000.0,0,0.3099843075539588,100000.0,0.0,Logistic,0.5
2023-02-13,100000.0,0,0.3420182103530366,100000.0,0.0,Logistic,0.5
2023-02-14,100000.0,0,0.3326904427868208,100000.0,0.0,Logistic,0.5
2023-02-15,100000.0,0,0.3144898198035353,100000.0,0.0,Logistic,0.5
2023-02-16,100000.0,0,0.3049661111055787,100000.0,0.0,Logistic,0.5
2023-02-17,100000.0,0,0.3344106410548013,100000.0,0.0,Logistic,0.5
2023-02-20,100000.0,0,0.3349551747827852,100000.0,0.0,Logistic,0.5
2023-02-21,100000.0,0,0.3479790425064203,100000.0,0.0,Logistic,0.5
2023-02-22,100000.0,0,0.3570200386662572,100000.0,0.0,Logistic,0.5
2023-02-23,100000.0,0,0.3418176444328685,100000.0,0.0,Logistic,0.5
2023-02-24,100000.0,0,0.3458673867292738,100000.0,0.0,Logistic,0.5
2023-02-27,100000.0,0,0.3721890380624775,100000.0,0.0,Logistic,0.5
2023-02-28,100000.0,0,0.3805370634316021,100000.0,0.0,Logistic,0.5
2023-03-01,100000.0,0,0.3343009537332462,100000.0,0.0,Logistic,0.5
2023-03-02,100000.0,0,0.3645400958460652,100000.0,0.0,Logistic,0.5
2023-03-03,100000.0,0,0.3436383922798365,100000.0,0.0,Logistic,0.5
2023-03-06,100000.0,0,0.3401355267378778,100000.0,0.0,Logistic,0.5
2023-03-08,100000.0,0,0.3202169699840195,100000.0,0.0,Logistic,0.5
2023-03-09,100000.0,0,0.3529078975660265,100000.0,0.0,Logistic,0.5
2023-03-10,100000.0,0,0.3450272708599116,100000.0,0.0,Logistic,0.5
