Date,Close,High,Low,Open,Volume,Daily_Return,Daily_Return_Percent,SMA_20,SMA_50,RSI_14,MACD,MACD_Signal,MACD_Histogram,Future_Close_5D,Future_Return_5D,Target,Volatility_20,Volume_SMA_20,Volume_Ratio,Price_vs_SMA20,Price_vs_SMA50,High_Low_Range,Open_Close_Change
2018-03-14,1163.1885986328125,1177.7542017544838,1158.4140602105922,1165.626281980383,3668668,3.473785513152805e-05,0.0034737855131528,1208.6406860351562,1189.0736181640625,39.41818970319127,0.0483472151238402,8.152337564603318,-8.103990349479478,1151.040283203125,-0.0104439773945226,0,0.0175965069904179,6652067.6,0.551507925144958,-0.03760595512587406,-0.021769063862687177,0.01662683211185495,-0.0020913078104493016
2018-03-15,1156.25830078125,1169.494248351658,1150.5771937161774,1166.4521858443015,2348906,-0.005958017349644,-0.5958017349644074,1207.7925537109377,1190.9299340820312,38.07313407428988,-3.871357645280568,5.747598522626541,-9.61895616790711,1140.8062744140625,-0.0133638187563687,0,0.0171553721472656,6627136.3,0.3544375569882273,-0.04266813267837166,-0.029113075680229694,0.016360578447479124,-0.008739222393134786
2018-03-16,1138.529541015625,1157.1847323849083,1130.1891275555947,1155.895409738505,7197482,-0.0153328713434067,-1.533287134340677,1205.7749084472655,1192.547448730469,34.80158297581619,-8.312493484219658,2.9355801212573014,-11.24807360547696,1135.4874267578125,-0.0026719677867108,0,0.0174109659291607,6863748.6,1.04862261417908,-0.05576942011360608,-0.04529623351452294,0.02371093929212604,-0.01502373707566546
2018-03-19,1140.6651611328125,1147.5147929728894,1136.2330464127629,1139.8593220928035,3489940,0.0018757704918945,0.1875770491894579,1203.7190063476562,1194.1477783203125,35.52034989918677,-11.526923736328172,0.0430793497402066,-11.57000308606838,1135.024169921875,-0.0049453524164227,0,0.0174042877393828,6912457.8,0.5048768615990683,-0.05238252854888681,-0.044787268509370426,0.00989049805722342,0.0007069635913750031
2018-03-20,1154.3038330078125,1157.668151415266,1135.8299367604347,1136.2328562129926,4024984,0.0119567707857888,1.1956770785788828,1202.535418701172,1195.87255859375,40.064648393736086,-12.82600582146938,-2.530737684501711,-10.29526813696767,1147.3941650390625,-0.0059860045259879,0,0.0176599702031088,7035295.8,0.5721129735582688,-0.04010824541488611,-0.03476016343649446,0.018918948400202952,0.015904289949024677
2018-03-21,1151.040283203125,1162.140735117148,1148.3205765743962,1157.3862653368255,3907678,-0.0028272883718869,-0.2827288371886949,1200.7625610351563,1197.2740014648436,39.350001066227165,-13.95798002277752,-4.816186152156873,-9.141793870620646,1147.9781494140625,-0.0026603185255524,0,0.0175601528199309,7136226.3,0.5475832513887627,-0.04140891750419551,-0.03861582077715919,0.012006668006694789,-0.005483028720626576
2018-03-22,1140.8062744140625,1158.7764268055632,1137.2605628022825,1152.3297141910637,2326094,-0.0088910952452361,-0.8891095245236125,1196.512762451172,1198.268173828125,37.11430872826267,-15.502177263125986,-6.953384374350696,-8.54879288877529,1172.354736328125,0.0276545305032323,1,0.0156227004070648,7098069.6,0.3277079728832188,-0.04655737053985898,-0.047954123016126005,0.018860225864668963,-0.010000123779755711
2018-03-23,1135.4874267578125,1141.9140707828917,1127.388804705208,1128.980316884259,3654122,-0.004662358347373,-0.4662358347373052,1191.837890625,1199.1993798828123,35.97045709735096,-16.959650956625865,-8.954637690805729,-8.005013265820136,1172.9993896484375,0.0330360002292,1,0.0155585791682154,7107625.2,0.5141129276203252,-0.0472803091011289,-0.05312874088646202,0.012792097680163718,0.0057637053332441
2018-03-26,1135.024169921875,1139.214493146931,1120.7406940955957,1135.830008878156,2964210,-0.0004079805949593,-0.0407980594959389,1186.62412109375,1199.3366845703124,35.86677360909239,-17.945228886233053,-10.752755929891194,-7.19247295634186,1172.8585205078125,0.033333519750986,1,0.0153172353871473,7087710.7,0.4182182548731849,-0.04348466397625028,-0.05362340323266168,0.01627612833355519,-0.0007094714437742659
2018-03-27,1147.3941650390625,1153.5588548066692,1137.4622359022296,1138.247909475669,2494574,0.0108984420288062,1.08984420288063,1182.9172729492188,1199.8508203125,40.77579847906595,-17.526121056648435,-12.107428955242645,-5.418692101405792,1191.815673828125,0.0387151252312236,1,0.0154829008260834,7144245.3,0.3491725011177878,-0.030030086399525646,-0.04371931442258392,0.01402884849418032,0.008035380945796441
