Model,Fold,Date,Actual,Probability,Prediction,Close,Return_1D,Trend_Return_20D,Trend_Return_60D,Volatility_20D,Volatility_Median,Forward_Return_10D,Signal,Regime
XGBoost,1,2023-03-03,0,0.3472266495227813,0,3342.14990234375,0.006232203247431567,-0.040246430381993825,,0.18390814810406683,,-0.05949758668100957,0,Weak_Downtrend
XGBoost,1,2023-03-06,0,0.5566051006317139,1,3371.85009765625,0.008886553918982631,-0.025462753727343856,,0.18701605436847257,,-0.07881429847214172,0,Weak_Downtrend
XGBoost,1,2023-03-08,0,0.5375850796699524,1,3390.39990234375,0.005501372881431932,-0.0236570086332083,,0.18777258911428643,,-0.07656909538493262,0,Weak_Downtrend
XGBoost,1,2023-03-09,0,0.3203698992729187,0,3336.85009765625,-0.01579453935521924,-0.05205817872111407,,0.18606469730631792,,-0.0635929661513851,0,Weak_Downtrend
XGBoost,1,2023-03-10,0,0.4161155521869659,0,3331.0,-0.0017531796409910871,-0.05926545656229654,,0.18339268956835245,,-0.0631942359651756,0,Weak_Downtrend
XGBoost,1,2023-03-13,0,0.452767014503479,0,3281.949951171875,-0.014725322374099403,-0.07225342232003817,,0.18782536899394095,,-0.0486448314931629,0,Weak_Downtrend
XGBoost,1,2023-03-14,0,0.4399172663688659,0,3214.949951171875,-0.020414692788376154,-0.07680047055821304,,0.19260434101693036,,-0.030809203979060507,0,Weak_Downtrend
XGBoost,1,2023-03-15,0,0.4191609621047973,0,3198.89990234375,-0.004992316854660395,-0.0860547375528462,,0.18965778030751845,,-0.018756448101436285,0,Weak_Downtrend
XGBoost,1,2023-03-16,1,0.4191609621047973,0,3185.0,-0.00434521328209303,-0.09533748360503069,,0.1857307636902879,,0.006561978757849252,0,Weak_Downtrend
XGBoost,1,2023-03-17,1,0.4160205423831939,0,3179.300048828125,-0.0017896236018445366,-0.1064487555830601,,0.17696196616225876,,0.006510851713887433,0,Weak_Downtrend
XGBoost,1,2023-03-20,1,0.4828085303306579,0,3143.300048828125,-0.01132324708178123,-0.10220923510760627,,0.17406131232582778,,0.030700219037624654,0,Weak_Downtrend
XGBoost,1,2023-03-21,1,0.8460187315940857,1,3106.10009765625,-0.011834680302233225,-0.10931091269303705,,0.17548377123738146,,0.0368950934975012,1,Weak_Downtrend
XGBoost,1,2023-03-22,1,0.5559381246566772,1,3130.800048828125,0.007952078296032061,-0.09278468593795275,,0.18098408686529313,,0.042353344655548186,0,Weak_Downtrend
XGBoost,1,2023-03-23,1,0.583052933216095,1,3124.64990234375,-0.001964400916205755,-0.08140410768901385,,0.17763594807348176,,0.028531243265847106,0,Weak_Downtrend
XGBoost,1,2023-03-24,1,0.7248117923736572,1,3120.5,-0.0013281175406681944,-0.08591600112279796,,0.17562355047383288,,0.03882387513018748,1,Weak_Downtrend
XGBoost,1,2023-03-27,1,0.5973241925239563,1,3122.300048828125,0.0005768462836484023,-0.08179796977982079,,0.17651740570323132,,0.021314430960311714,0,Weak_Downtrend
XGBoost,1,2023-03-28,1,0.7373450398445129,1,3115.89990234375,-0.0020498178856247495,-0.06481389887990685,,0.16618407190481846,,0.0075740872287002325,1,Weak_Downtrend
