Date,Strategy,Equity,Daily_Return,Position,Probability,Regime
2023-02-03,Baseline_XGB_0.70,100000.0,0.0,0.0,0.4088793396949768,Strong_Uptrend_HighVol
2023-02-06,Baseline_XGB_0.70,100000.0,0.0,0.0,0.3988363146781921,Strong_Uptrend_LowVol
2023-02-07,Baseline_XGB_0.70,100000.0,0.0,0.0,0.4039197564125061,Strong_Uptrend_LowVol
2023-02-08,Baseline_XGB_0.70,100000.0,0.0,0.0,0.2952230274677276,Strong_Uptrend_LowVol
2023-02-09,Baseline_XGB_0.70,100000.0,0.0,0.0,0.2863130271434784,Strong_Uptrend_LowVol
2023-02-10,Baseline_XGB_0.70,100000.0,0.0,0.0,0.2909234464168548,Strong_Uptrend_LowVol
2023-02-13,Baseline_XGB_0.70,100000.0,0.0,0.0,0.2294507175683975,Strong_Uptrend_LowVol
2023-02-14,Baseline_XGB_0.70,100000.0,0.0,0.0,0.3302276730537414,Strong_Uptrend_LowVol
2023-02-15,Baseline_XGB_0.70,100000.0,0.0,0.0,0.3378582596778869,Strong_Uptrend_LowVol
2023-02-16,Baseline_XGB_0.70,100000.0,0.0,0.0,0.3549425303936004,Strong_Uptrend_LowVol
2023-02-17,Baseline_XGB_0.70,100000.0,0.0,0.0,0.2489628791809082,Strong_Uptrend_LowVol
2023-02-20,Baseline_XGB_0.70,100000.0,0.0,0.0,0.2929953932762146,Strong_Uptrend_LowVol
2023-02-21,Baseline_XGB_0.70,100000.0,0.0,0.0,0.1825983077287674,Strong_Uptrend_LowVol
2023-02-22,Baseline_XGB_0.70,100000.0,0.0,0.0,0.4928011000156402,Weak_Uptrend
2023-02-23,Baseline_XGB_0.70,100000.0,0.0,0.0,0.4355315566062927,Strong_Uptrend_LowVol
2023-02-24,Baseline_XGB_0.70,100000.0,0.0,0.0,0.4860202372074127,Weak_Uptrend
2023-02-27,Baseline_XGB_0.70,100000.0,0.0,0.0,0.3203698992729187,Strong_Downtrend_LowVol
2023-02-28,Baseline_XGB_0.70,100000.0,0.0,0.0,0.4484154284000397,Strong_Downtrend_LowVol
2023-03-01,Baseline_XGB_0.70,100000.0,0.0,0.0,0.5300629138946533,Weak_Uptrend
2023-03-02,Baseline_XGB_0.70,100000.0,0.0,0.0,0.440104991197586,Strong_Downtrend_LowVol
2023-03-03,Baseline_XGB_0.70,100000.0,0.0,0.0,0.3472266495227813,Strong_Downtrend_LowVol
2023-03-06,Baseline_XGB_0.70,100000.0,0.0,0.0,0.5566051006317139,Weak_Downtrend
2023-03-08,Baseline_XGB_0.70,100000.0,0.0,0.0,0.5375850796699524,Weak_Uptrend
2023-03-09,Baseline_XGB_0.70,100000.0,0.0,0.0,0.3203698992729187,Strong_Downtrend_LowVol
2023-03-10,Baseline_XGB_0.70,100000.0,0.0,0.0,0.4161155521869659,Strong_Downtrend_LowVol
2023-03-13,Baseline_XGB_0.70,100000.0,0.0,0.0,0.452767014503479,Strong_Downtrend_LowVol
2023-03-14,Baseline_XGB_0.70,100000.0,0.0,0.0,0.4399172663688659,Strong_Downtrend_LowVol
2023-03-15,Baseline_XGB_0.70,100000.0,0.0,0.0,0.4191609621047973,Strong_Downtrend_LowVol
2023-03-16,Baseline_XGB_0.70,100000.0,0.0,0.0,0.4191609621047973,Strong_Downtrend_LowVol
2023-03-17,Baseline_XGB_0.70,100000.0,0.0,0.0,0.4160205423831939,Strong_Downtrend_LowVol
2023-03-20,Baseline_XGB_0.70,100000.0,0.0,0.0,0.4828085303306579,Strong_Downtrend_LowVol
2023-03-21,Baseline_XGB_0.70,99950.02498750624,-0.0004997501249375258,1.0,0.8460187315940857,Strong_Downtrend_LowVol
