Model,Train_Accuracy,Validation_Accuracy,Validation_Balanced_Accuracy,Validation_F1,Validation_ROC_AUC,Test_Accuracy,Test_Balanced_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Strategy_Return,Buy_Hold_Return,Max_Drawdown,Sharpe
Technical_Only,0.8906882591093117,0.5408163265306123,0.5386904761904763,0.4943820224719101,0.483843537414966,0.576271186440678,0.5770114942528736,0.5625,0.6206896551724138,0.5901639344262295,0.5724137931034483,0.06726847884523068,0.026706875097002314,-0.07768246385082522,1.2320967989292968
News_Only,0.6720647773279352,0.5306122448979592,0.5178571428571428,0.43902439024390244,0.4630102040816326,0.4745762711864407,0.4752873563218391,0.46875,0.5172413793103449,0.4918032786885246,0.5045977011494253,-0.06698335606039485,0.026706875097002314,-0.203492579646545,-0.7816290875410009
Technical_News,0.9129554655870445,0.41836734693877553,0.41369047619047616,0.3595505617977528,0.3898809523809524,0.559322033898305,0.5603448275862069,0.5454545454545454,0.6206896551724138,0.5806451612903226,0.5793103448275861,0.03017053852947016,0.026706875097002314,-0.07801486765596743,0.6150909909421228
Majority_Baseline,,,,,,0.5084745762711864,0.5,,,,,,,,
