Model,Folds,Mean_Test_AUC,Median_Test_AUC,Std_Test_AUC,Mean_Balanced_Accuracy,Mean_Precision,Mean_Recall,Mean_F1,Mean_Predicted_Positive_Rate
Logistic,8,0.5811443891064341,0.5571984891517582,0.10736623777223774,0.5459591527102066,0.5714593709005834,0.6542781381319922,0.5345562040074692,0.60375
XGBoost,8,0.552142675164528,0.5483620737934017,0.13458509117804704,0.5455591548546016,0.5389566508571292,0.6071642812765461,0.4922043089034169,0.55625
